n_threads,Time,GFLOPS
1,20.633141,96.931437
1,20.785945,96.218863
1,20.739443,96.434604
1,20.663110,96.790850
1,20.647077,96.866013
2,10.432244,191.713309
2,10.498824,190.497522
2,10.684911,187.179844
2,10.339431,193.434250
2,10.386715,192.553670
4,5.386704,371.284583
4,5.254814,380.603381
4,5.323398,375.699882
4,5.215349,383.483428
4,5.188670,385.455230
6,3.596852,556.041726
6,3.571674,559.961524
6,3.617866,552.812002
6,3.632890,550.525915
6,3.643618,548.904952
8,2.815000,710.479532
8,2.807476,712.383770
8,2.758373,725.065139
8,2.817580,709.828940
8,2.741841,729.436919
10,2.266163,882.549051
10,2.243874,891.315603
10,2.253404,887.546217
10,2.267917,881.866674
10,2.292954,872.237256
12,1.932798,1034.769286
12,1.912610,1045.691702
12,1.949456,1025.927116
12,1.916828,1043.390657
12,1.945731,1027.891349
14,1.759218,1136.868715
14,1.768343,1131.002434
14,1.769855,1130.035803
14,1.713506,1167.197350
14,1.775682,1126.327715
16,1.522959,1313.233237
16,1.518801,1316.828283
16,1.536634,1301.545735
16,1.527011,1309.748688
16,1.543788,1295.515051
18,1.389321,1439.552578
18,1.387978,1440.944940
18,1.377774,1451.616787
18,1.393574,1435.158817
18,1.367679,1462.331645
20,1.277433,1565.639663
20,1.272690,1571.474292
20,1.271686,1572.714931
20,1.261301,1585.664028
20,1.255353,1593.176936
22,1.258472,1589.228733
22,1.252645,1596.621141
22,1.199061,1667.972040
22,1.198216,1669.148395
22,1.214495,1646.774666
24,1.133834,1763.926410
24,1.174787,1702.435600
24,1.108366,1804.458226
24,1.202060,1663.810372
24,1.156301,1729.654087
26,1.111788,1798.904913
26,1.087690,1838.759040
26,1.069705,1869.673858
26,1.003681,1992.665637
26,1.051632,1901.806653
28,1.103945,1811.684598
28,1.108619,1804.046377
28,1.065410,1877.211014
28,1.048506,1907.475508
28,1.106631,1807.287664
30,1.092308,1830.985468
30,0.984186,2032.136846
30,1.097622,1822.121269
30,1.104152,1811.344629
30,0.992170,2015.782807
32,0.882186,2267.095560
32,0.876575,2281.606895
32,0.881010,2270.122779
32,0.867914,2304.375843
32,0.897639,2228.066006
34,0.894513,2235.854443
34,0.893161,2239.239128
34,0.908911,2200.434585
34,0.916790,2181.525836
34,0.917662,2179.452777
36,0.863881,2315.132953
36,0.862632,2318.485132
36,0.887045,2254.677671
36,0.870846,2296.618357
36,0.864480,2313.530275
38,0.811198,2465.489070
38,0.827761,2416.156022
38,0.836270,2391.571399
38,0.814980,2454.046672
38,0.825669,2422.279210
40,0.772584,2588.714257
40,0.828697,2413.427790
40,0.787864,2538.508053
40,0.782313,2556.520357
40,0.770861,2594.502920
42,0.801794,2494.406194
42,0.800722,2497.744902
42,0.799704,2500.924163
42,0.799365,2501.987150
42,0.831739,2404.600537
44,0.768814,2601.410286
44,0.764915,2614.670462
44,0.759638,2632.834387
44,0.745996,2680.981115
44,0.767391,2606.232163
46,0.702504,2846.960009
46,0.771305,2593.006579
46,0.732886,2728.936925
46,0.717131,2788.891534
46,0.742740,2692.732160
48,0.673964,2967.519147
48,0.663971,3012.180946
48,0.705870,2833.381208
48,0.721429,2772.273744
48,0.691827,2890.894743
50,0.735279,2720.057030
50,0.670608,2982.369582
50,0.686930,2911.503862
50,0.677783,2950.797019
50,0.735566,2718.994410
52,0.647931,3086.749845
52,0.716156,2792.686433
52,0.723908,2762.782832
52,0.622325,3213.756353
52,0.656407,3046.890524
54,0.637530,3137.105699
54,0.640592,3122.111140
54,0.655448,3051.346680
54,0.623542,3207.481510
54,0.656357,3047.124046
56,0.668977,2989.639427
56,0.645495,3098.397282
56,0.655839,3049.527083
56,0.645390,3098.899663
56,0.645798,3096.941636
58,0.636963,3139.899426
58,0.643773,3106.684358
58,0.660929,3026.044098
58,0.659831,3031.077641
58,0.645536,3098.201319
60,0.667662,2995.526291
60,0.662267,3019.929563
60,0.652210,3066.494862
60,0.653564,3060.145050
60,0.656709,3045.489790
62,0.581224,3441.016385
62,0.674758,2964.027615
62,0.586488,3410.130420
62,0.665710,3004.312545
62,0.608322,3287.731424
64,0.618217,3235.110379
64,0.631261,3168.260317
64,0.622018,3215.341976
64,0.623851,3205.895498
64,0.622839,3211.100652
66,0.634512,3152.026967
66,0.784764,2548.536284
66,0.647715,3087.775940
66,0.675846,2959.256150
66,0.663826,3012.838269
68,0.662793,3017.533569
68,0.676629,2955.830985
68,0.594446,3364.475253
68,0.636622,3141.581029
68,0.629086,3179.217324
70,0.736485,2715.601616
70,0.705993,2832.888728
70,0.707045,2828.672823
70,0.770478,2595.791716
70,0.768537,2602.348215
72,0.721001,2773.922599
72,0.711598,2810.577028
72,0.681938,2932.819428
72,0.734194,2724.077015
72,0.731664,2733.494562
74,0.772612,2588.622139
74,0.836640,2390.514482
74,0.821221,2435.397377
74,0.858550,2329.508530
74,0.841107,2377.818549
76,0.778579,2568.782210
76,0.762123,2624.249171
76,0.877326,2279.654799
76,0.799466,2501.670472
76,0.801213,2496.216170
78,0.853269,2343.927556
78,0.866721,2307.548340
78,0.832452,2402.541709
78,0.845293,2366.042947
78,0.844350,2368.687133
80,0.864378,2313.802085
80,0.868716,2302.247713
80,0.834719,2396.016390
80,0.873712,2289.084655
80,0.883386,2264.016567
82,0.874330,2287.466333
82,0.850832,2350.639593
82,0.849228,2355.079553
82,0.893279,2238.941626
82,0.866816,2307.294112
84,0.835233,2394.542192
84,0.882677,2265.835266
84,0.854891,2339.479448
84,0.906343,2206.669398
84,0.874476,2287.085070
86,0.884597,2260.916336
86,0.845170,2366.389140
86,0.859355,2327.327313
86,0.908199,2202.160123
86,0.914965,2185.875518
88,0.847146,2360.869267
88,0.878881,2275.622221
88,0.891366,2243.748297
88,0.883656,2263.323805
88,0.889154,2249.329897
90,0.919215,2175.769410
90,0.869534,2300.081264
90,0.909792,2198.303901
90,0.909308,2199.473655
90,0.892553,2240.762829
92,0.870065,2298.678176
92,0.917232,2180.473617
92,0.887957,2252.360343
92,0.860369,2324.583833
92,0.919075,2176.100270
94,0.844042,2369.551128
94,0.939489,2128.816652
94,0.896292,2231.415812
94,0.943338,2120.131243
94,0.875720,2283.834319
96,0.796986,2509.454162
96,0.876241,2282.476914
96,0.775194,2580.000804
96,0.803732,2488.390978
96,0.770309,2596.361285
98,0.899559,2223.312305
98,0.888345,2251.376817
98,0.922530,2167.951406
98,0.987560,2025.194036
98,0.940686,2126.108818
100,0.815332,2452.989586
100,0.787388,2540.042965
100,0.871321,2295.364981
100,0.907747,2203.255881
100,0.854059,2341.758146
102,0.921812,2169.639961
102,0.899554,2223.324678
102,0.900767,2220.329638
102,0.890594,2245.693008
102,0.924085,2164.304194
104,0.850630,2351.199322
104,0.863317,2316.646456
104,0.887456,2253.631774
104,0.834952,2395.346009
104,0.883154,2264.610169
106,0.993264,2013.564133
106,0.878449,2276.741056
106,0.939675,2128.395909
106,0.953294,2097.988370
106,0.890465,2246.018012
108,0.910580,2196.401147
108,0.952922,2098.807255
108,0.926040,2159.733951
108,0.956322,2091.346268
108,0.900816,2220.209550
110,0.810303,2468.212974
110,0.915012,2185.763672
110,0.912461,2191.874139
110,0.925154,2161.801912
110,0.852117,2347.094454
112,0.843552,2370.926669
112,0.816971,2448.066030
112,0.874733,2286.411116
112,0.798868,2503.543531
112,0.803938,2487.755071
114,0.903108,2214.573347
114,0.812138,2462.635078
114,0.856818,2334.217438
114,0.864192,2314.299680
114,0.850430,2351.751528
116,0.909305,2199.482697
116,1.030356,1941.075970
116,0.960885,2081.415272
116,0.950811,2103.467629
116,0.931026,2148.167372
118,0.944024,2118.590840
118,0.909385,2199.289640
118,0.903014,2214.805520
118,0.860782,2323.467931
118,0.908429,2201.603237
120,0.803139,2490.229935
120,0.815931,2451.188635
120,0.802144,2493.316571
120,0.848404,2357.367811
120,0.814264,2456.204369
122,0.863994,2314.831410
122,0.749611,2668.049186
122,0.841158,2377.674137
122,0.836645,2390.501030
122,0.953085,2098.448486
124,0.848219,2357.880578
124,0.847440,2360.048507
124,0.832011,2403.812974
124,0.839394,2382.670601
124,0.876847,2280.899554
126,0.753313,2654.939653
126,0.828541,2413.882815
126,0.765719,2611.922894
126,0.743601,2689.613347
126,0.789282,2533.947006
128,0.847183,2360.765927
128,0.813101,2459.718718
128,0.852093,2347.161986
128,0.774364,2582.766025
128,0.760569,2629.608474
