n_threads,Time,GFLOPS
2000,0.024545,651.854442
2000,0.021330,750.107394
2000,0.022913,698.295953
2000,0.021021,761.154155
2000,0.023783,672.756260
3000,0.054214,996.060342
3000,0.053783,1004.029374
3000,0.055449,973.864612
3000,0.054473,991.318109
3000,0.055026,981.354911
4000,0.106555,1201.258344
4000,0.104726,1222.241312
4000,0.106263,1204.556404
4000,0.105876,1208.962329
4000,0.102755,1245.686118
5000,0.175457,1424.848747
5000,0.173118,1444.105039
5000,0.176658,1415.160398
5000,0.177534,1408.181468
5000,0.178188,1403.009305
6000,0.275045,1570.654702
6000,0.282981,1526.601902
6000,0.285560,1512.817536
6000,0.259800,1662.815497
6000,0.282964,1526.697842
7000,0.421385,1627.965026
7000,0.418528,1639.076779
7000,0.426548,1608.260664
7000,0.421639,1626.986089
7000,0.419668,1634.623935
8000,0.613185,1669.969722
8000,0.597820,1712.891385
8000,0.595739,1718.872610
8000,0.610928,1676.139408
8000,0.604535,1693.862565
9000,0.832966,1750.371064
9000,0.842221,1731.137418
9000,0.847439,1720.477337
9000,0.814323,1790.444684
9000,0.812917,1793.542124
10000,1.119380,1786.703991
10000,1.108208,1804.715702
10000,1.130356,1769.353612
10000,1.119635,1786.297049
10000,1.113584,1796.002602
11000,1.706316,1560.086570
11000,1.728938,1539.673111
11000,1.707661,1558.857725
11000,1.702778,1563.327458
11000,1.683093,1581.611700
12000,2.046423,1688.800694
12000,2.083339,1658.875629
12000,2.116014,1633.259579
12000,2.075333,1665.275217
12000,1.901156,1817.841354
13000,2.513210,1748.361799
13000,2.505972,1753.411587
13000,2.555791,1719.233225
13000,2.544665,1726.750127
13000,2.540278,1729.732110
14000,3.204178,1712.763848
14000,3.240362,1693.637917
14000,3.262044,1682.380587
14000,3.224610,1701.911167
14000,3.258206,1684.362343
15000,3.929039,1717.977240
15000,3.964276,1702.707083
15000,3.678987,1834.744140
15000,3.925050,1719.723180
15000,3.998652,1688.068848
16000,4.816323,1700.882771
16000,4.792658,1709.281055
16000,4.791136,1709.824314
16000,4.852372,1688.246440
16000,4.847481,1689.949768
17000,5.697816,1724.520490
17000,5.818588,1688.725812
17000,5.420116,1812.876268
17000,5.673965,1731.769690
17000,5.755290,1707.298847
18000,6.691303,1743.158204
18000,6.532308,1785.586306
18000,6.747593,1728.616443
18000,6.715271,1736.936674
18000,6.620314,1761.849933
19000,7.988609,1717.195053
19000,7.627141,1798.576937
19000,8.000188,1714.709760
19000,7.721352,1776.631841
19000,7.788598,1761.292547
20000,8.968790,1783.964237
20000,9.100980,1758.052503
20000,8.836976,1810.574134
20000,9.108411,1756.618230
20000,9.064208,1765.184496
