n_threads,Time,GFLOPS
2000,0.014216,1125.464615
2000,0.012932,1237.236360
2000,0.013272,1205.568763
2000,0.013940,1147.807225
2000,0.013862,1154.203874
3000,0.030614,1763.892129
3000,0.032373,1668.053159
3000,0.030164,1790.193677
3000,0.029921,1804.770671
3000,0.030926,1746.087172
4000,0.061351,2086.340836
4000,0.060940,2100.412380
4000,0.059636,2146.362001
4000,0.062594,2044.915907
4000,0.062839,2036.957766
5000,0.105471,2370.330097
5000,0.101958,2451.993498
5000,0.102416,2441.021884
5000,0.098722,2532.370815
5000,0.100633,2484.269210
6000,0.148930,2900.683322
6000,0.147574,2927.349012
6000,0.148460,2909.867403
6000,0.149396,2891.645118
6000,0.146203,2954.791101
7000,0.222413,3084.358241
7000,0.216193,3173.084311
7000,0.219503,3125.245042
7000,0.220508,3110.998353
7000,0.222422,3084.225394
8000,0.310950,3293.135851
8000,0.308028,3324.376001
8000,0.312982,3271.757494
8000,0.313116,3270.356477
8000,0.308089,3323.719475
9000,0.438237,3326.967272
9000,0.425138,3429.472559
9000,0.434928,3352.275923
9000,0.423254,3444.738296
9000,0.431553,3378.495413
10000,0.545824,3664.181590
10000,0.553634,3612.493364
10000,0.573235,3488.971137
10000,0.560673,3567.142592
10000,0.565707,3535.398161
11000,0.725498,3669.201797
11000,0.727789,3657.653729
11000,0.739215,3601.118736
11000,0.720543,3694.436899
11000,0.732643,3633.418922
12000,0.925551,3733.993658
12000,0.925159,3735.574000
12000,0.927906,3724.513344
12000,0.927528,3726.032976
12000,0.917393,3767.197440
13000,1.185650,3705.985275
13000,1.180031,3723.631996
13000,1.169417,3757.427699
13000,1.182800,3714.915086
13000,1.185118,3707.646704
14000,1.438094,3816.161003
14000,1.448571,3788.562403
14000,1.425852,3848.926048
14000,1.432774,3830.331259
14000,1.438678,3814.613902
15000,1.739344,3880.773611
15000,1.760970,3833.114212
15000,1.748580,3860.274793
15000,1.735836,3888.615092
15000,1.734992,3890.507657
16000,2.114410,3874.366251
16000,2.069511,3958.422323
16000,2.074420,3949.056274
16000,2.147157,3815.277571
16000,2.070428,3956.670455
17000,2.552099,3850.164058
17000,2.543980,3862.451931
17000,2.551819,3850.586437
17000,2.559244,3839.414485
17000,2.495484,3937.513447
18000,2.974670,3921.107309
18000,2.994099,3895.663031
18000,3.002618,3884.609725
18000,3.003632,3883.298643
18000,2.999489,3888.662597
19000,3.600563,3809.960086
19000,3.487770,3933.171659
19000,3.521930,3895.023055
19000,3.513400,3904.479439
19000,3.511933,3906.110901
20000,4.114252,3888.920824
20000,4.166311,3840.327986
20000,4.123463,3880.233620
20000,4.209915,3800.552063
20000,4.121029,3882.525451
