n_threads,Time,GFLOPS
2000,0.389048,41.125990
2000,0.036610,437.039466
2000,0.037348,428.407176
2000,0.037020,432.194095
2000,0.035682,448.410033
3000,0.074555,724.300685
3000,0.076682,704.210181
3000,0.074587,723.990811
3000,0.073167,738.038689
3000,0.074080,728.941547
4000,0.198893,643.562136
4000,0.205487,622.909485
4000,0.212873,601.296818
4000,0.211866,604.155996
4000,0.196179,652.464609
5000,0.439545,568.769361
5000,0.436953,572.144203
5000,0.432966,577.412170
5000,0.441461,566.300805
5000,0.442455,565.028950
6000,0.770785,560.467470
6000,0.781285,552.934977
6000,0.767368,562.963019
6000,0.766296,563.751160
6000,0.769810,561.177265
7000,1.237976,554.130197
7000,1.242017,552.327423
7000,1.237194,554.480392
7000,1.231562,557.016235
7000,1.243057,551.865075
8000,1.805918,567.024645
8000,1.807854,566.417434
8000,1.821094,562.299496
8000,1.808632,566.173892
8000,1.804789,567.379222
9000,2.525277,577.362439
9000,2.524525,577.534408
9000,2.525951,577.208326
9000,2.528502,576.626015
9000,2.518485,578.919499
10000,3.450805,579.574891
10000,3.194641,626.048370
10000,3.465883,577.053462
10000,3.464213,577.331666
10000,3.454189,579.007052
11000,4.543545,585.886094
11000,4.533270,587.214118
11000,4.532022,587.375764
11000,4.527441,587.970130
11000,4.537019,586.728884
12000,5.317374,649.944855
12000,4.653101,742.730500
12000,5.512929,626.889937
12000,4.464773,774.059499
12000,5.321569,649.432534
13000,6.831992,643.150618
13000,6.823458,643.955025
13000,6.841579,642.249379
13000,6.842534,642.159800
13000,6.846612,641.777249
14000,9.112996,602.216855
14000,9.093971,603.476742
14000,9.070506,605.037936
14000,9.084659,604.095301
14000,9.089788,603.754467
15000,10.813115,624.241922
15000,10.889770,619.847799
15000,10.835842,622.932669
15000,11.009485,613.107714
15000,10.998067,613.744210
16000,11.050433,741.328420
16000,12.511096,654.778789
16000,11.707864,699.700667
16000,10.943013,748.605496
16000,11.147988,734.841136
17000,14.632929,671.499199
17000,14.414745,681.663095
17000,13.935270,705.117313
17000,14.439546,680.492321
17000,13.634449,720.674525
18000,16.077731,725.475522
18000,15.223694,766.174076
18000,16.053574,726.567193
18000,16.096709,724.620165
18000,16.082962,725.239528
19000,22.451651,611.001831
19000,22.477308,610.304401
19000,22.510811,609.396069
19000,22.483763,610.129182
19000,22.458229,610.822881
20000,25.682606,622.989736
20000,25.680623,623.037852
20000,25.196572,635.007004
20000,25.501069,627.424672
20000,25.259493,633.425219
