n_threads,Time,GFLOPS
2000,0.025333,631.586884
2000,0.022939,697.494986
2000,0.021796,734.075168
2000,0.022895,698.846205
2000,0.020782,769.889765
3000,0.037752,1430.391090
3000,0.038581,1399.639365
3000,0.038769,1392.862991
3000,0.038887,1388.629271
3000,0.038524,1401.736045
4000,0.065802,1945.217626
4000,0.064804,1975.180103
4000,0.066337,1929.531519
4000,0.065038,1968.076144
4000,0.064634,1980.384048
5000,0.106871,2339.268225
5000,0.110928,2253.721008
5000,0.107785,2319.439347
5000,0.111913,2233.878980
5000,0.108072,2313.282372
6000,0.233977,1846.337075
6000,0.227833,1896.123707
6000,0.227377,1899.927979
6000,0.225132,1918.870953
6000,0.226138,1910.337251
7000,0.463675,1479.484237
7000,0.470321,1458.578315
7000,0.462796,1482.294626
7000,0.457663,1498.920575
7000,0.462774,1482.364642
8000,0.797633,1283.798014
8000,0.794245,1289.274149
8000,0.795567,1287.131906
8000,0.791688,1293.439114
8000,0.804835,1272.309767
9000,1.114611,1308.079322
9000,1.120995,1300.630659
9000,1.119983,1301.805547
9000,1.117905,1304.225609
9000,1.118278,1303.789956
10000,1.557172,1284.379723
10000,1.565471,1277.571020
10000,1.533406,1304.285748
10000,1.550104,1290.235942
10000,1.557323,1284.255264
11000,2.035900,1307.529625
11000,2.038603,1305.796109
11000,2.032914,1309.450166
11000,2.032747,1309.558048
11000,2.036342,1307.246296
12000,2.607361,1325.478029
12000,2.595770,1331.397069
12000,2.594569,1332.013044
12000,2.599753,1329.357171
12000,2.597590,1330.464176
13000,3.287789,1336.460631
13000,3.291428,1334.982693
13000,3.296973,1332.737439
13000,3.296753,1332.826593
13000,3.324214,1321.816236
14000,4.014352,1367.094893
14000,4.028871,1362.168071
14000,3.716003,1476.855826
14000,4.049667,1355.173066
14000,4.036287,1359.665541
15000,3.850347,1753.088936
15000,3.798053,1777.226285
15000,3.853226,1751.778695
15000,3.831948,1761.506017
15000,3.799991,1776.319880
16000,5.847128,1401.029756
16000,5.834103,1404.157618
16000,5.876112,1394.119070
16000,5.871724,1395.160831
16000,5.834049,1404.170589
17000,7.177447,1369.010443
17000,7.180033,1368.517363
17000,7.118339,1380.378287
17000,7.177619,1368.977593
17000,7.144722,1375.280992
18000,6.325520,1843.958971
18000,8.079554,1443.644016
18000,8.209651,1420.766776
18000,8.302003,1404.962101
18000,6.657702,1751.955858
19000,9.373387,1463.505163
19000,9.823534,1396.442511
19000,9.523385,1440.454261
19000,9.363151,1465.105135
19000,9.535451,1438.631408
20000,11.506942,1390.465024
20000,11.461436,1395.985693
20000,11.520369,1388.844429
20000,11.545612,1385.807907
20000,11.576914,1382.060866
