n_threads,Time,GFLOPS
2000,0.025108,637.240874
2000,0.027383,584.296150
2000,0.029194,548.056806
2000,0.027323,585.588477
2000,0.028745,556.618310
3000,0.078484,688.041833
3000,0.076103,709.567830
3000,0.076640,704.591091
3000,0.077417,697.523910
3000,0.083750,644.777990
4000,0.139252,919.198165
4000,0.122735,1042.897554
4000,0.120315,1063.871778
4000,0.122045,1048.795901
4000,0.134599,950.974098
5000,0.237586,1052.248366
5000,0.214148,1167.417881
5000,0.215148,1161.991210
5000,0.213195,1172.632730
5000,0.227231,1100.203851
6000,0.394851,1094.083123
6000,0.394020,1096.391928
6000,0.395359,1092.676772
6000,0.397911,1085.668713
6000,0.388043,1113.277868
7000,0.521303,1315.932890
7000,0.529549,1295.442885
7000,0.539274,1272.079685
7000,0.532686,1287.812875
7000,0.557617,1230.234247
8000,0.725739,1410.976110
8000,0.713315,1435.549940
8000,0.710758,1440.716141
8000,0.704466,1453.582729
8000,0.713357,1435.466550
9000,1.001091,1456.411333
9000,0.990480,1472.013548
9000,0.998378,1460.368341
9000,0.984774,1480.543007
9000,0.995281,1464.912493
10000,1.312982,1523.250430
10000,1.312957,1523.279155
10000,1.305552,1531.919642
10000,1.300272,1538.139497
10000,1.355605,1475.355950
11000,1.692291,1573.015234
11000,1.807951,1472.385216
11000,1.769963,1503.986648
11000,1.733596,1535.536617
11000,1.821710,1461.264507
12000,2.310198,1495.975504
12000,2.273849,1519.890013
12000,2.252299,1534.432267
12000,2.239982,1542.869477
12000,2.245367,1539.169503
13000,2.780023,1580.562598
13000,2.840733,1546.783616
13000,2.775380,1583.206595
13000,2.747682,1599.166260
13000,2.715444,1618.151356
14000,3.398865,1614.656778
14000,3.399045,1614.571298
14000,3.300159,1662.950208
14000,3.403852,1612.291066
14000,3.380524,1623.416940
15000,4.193872,1609.491086
15000,4.582785,1472.903344
15000,4.146917,1627.715370
15000,4.226151,1597.197843
15000,4.272836,1579.747035
16000,4.943953,1656.973627
16000,4.848027,1689.759494
16000,4.852398,1688.237287
16000,4.949938,1654.970363
16000,4.865356,1683.741198
17000,5.794308,1695.802195
17000,5.868575,1674.341775
17000,6.042283,1626.206629
17000,5.837929,1683.131011
17000,5.845057,1681.078654
18000,7.188610,1622.566792
18000,7.041935,1656.362817
18000,6.895376,1691.568395
18000,6.976522,1671.893255
18000,6.946326,1679.161128
19000,8.322098,1648.382392
19000,7.961827,1722.971356
19000,7.873601,1742.277815
19000,8.019006,1710.685790
19000,8.043019,1705.578405
20000,9.298826,1720.647372
20000,9.260236,1727.817807
20000,9.391487,1703.670594
20000,9.311902,1718.231149
20000,9.364222,1708.631080
