n_threads,Time,GFLOPS
2000,0.016718,957.039227
2000,0.015981,1001.158278
2000,0.016464,971.828455
2000,0.016160,990.090861
2000,0.016209,987.136196
3000,0.044344,1217.761045
3000,0.044593,1210.957280
3000,0.044148,1223.151596
3000,0.047665,1132.897428
3000,0.043985,1227.681936
4000,0.071489,1790.478663
4000,0.091845,1393.645642
4000,0.092715,1380.578141
4000,0.097608,1311.374101
4000,0.072106,1775.163406
5000,0.116460,2146.658452
5000,0.135095,1850.548682
5000,0.115086,2172.293853
5000,0.134929,1852.828828
5000,0.137886,1813.095472
6000,0.171669,2516.471573
6000,0.180675,2391.038931
6000,0.169254,2552.374684
6000,0.195238,2212.682159
6000,0.170155,2538.854703
7000,0.269561,2544.879082
7000,0.299937,2287.148813
7000,0.256345,2676.078662
7000,0.258100,2657.889123
7000,0.259458,2643.971392
8000,0.383346,2671.215552
8000,0.382430,2677.613063
8000,0.362482,2824.966169
8000,0.368446,2779.238544
8000,0.371418,2756.999333
9000,0.564578,2582.462079
9000,0.490330,2973.508238
9000,0.481136,3030.327978
9000,0.498333,2925.755516
9000,0.481599,3027.415213
10000,0.619887,3226.392245
10000,0.631468,3167.224737
10000,0.639583,3127.035964
10000,0.754724,2649.975390
10000,0.634356,3152.804753
11000,0.805669,3304.085712
11000,0.848514,3137.247578
11000,0.774930,3435.147266
11000,0.799353,3330.191311
11000,0.793983,3352.715370
12000,1.018248,3394.066220
12000,1.002397,3447.735409
12000,1.027765,3362.635069
12000,0.999774,3456.782201
12000,1.032771,3346.337524
13000,1.276976,3440.942773
13000,1.300640,3378.337042
13000,1.353562,3246.248676
13000,1.303197,3371.707992
13000,1.454198,3021.595853
14000,1.517189,3617.214998
14000,1.516233,3619.495953
14000,1.510859,3632.369719
14000,1.517425,3616.654311
14000,1.513651,3625.670005
15000,1.900473,3551.746738
15000,1.981313,3406.832025
15000,1.913496,3527.574738
15000,1.898842,3554.798723
15000,1.897916,3556.532282
16000,2.205255,3714.763300
16000,2.264712,3617.237001
16000,2.233816,3667.267360
16000,2.311833,3543.508468
16000,2.348076,3488.813511
17000,2.767662,3550.288925
17000,2.662911,3689.946329
17000,2.632507,3732.563915
17000,2.628966,3737.590542
17000,2.848177,3449.926366
18000,3.177073,3671.303995
18000,3.177957,3670.283078
18000,3.395770,3434.861308
18000,3.158797,3692.544506
18000,3.287707,3547.761767
19000,4.015128,3416.578137
19000,4.026101,3407.266353
19000,3.674476,3733.321066
19000,3.708744,3698.826700
19000,3.684981,3722.678134
20000,4.420519,3619.484645
20000,4.630813,3455.116762
20000,4.280908,3737.524657
20000,4.432714,3609.526434
20000,4.475549,3574.980373
