n_threads,Time,GFLOPS
2000,0.023560,679.128044
2000,0.021134,757.088131
2000,0.021497,744.274217
2000,0.021580,741.436661
2000,0.021390,748.001445
3000,0.053762,1004.433308
3000,0.055420,974.382914
3000,0.054958,982.573227
3000,0.056972,947.826787
3000,0.054532,990.250489
4000,0.102528,1248.439158
4000,0.103474,1237.029504
4000,0.104048,1230.205359
4000,0.108199,1183.005191
4000,0.102963,1243.164658
5000,0.177278,1410.214609
5000,0.177515,1408.332761
5000,0.174081,1436.115895
5000,0.177582,1407.803281
5000,0.175979,1420.627281
6000,0.285941,1510.802199
6000,0.283833,1522.021586
6000,0.274808,1572.006391
6000,0.274793,1572.092362
6000,0.274632,1573.014740
7000,0.423537,1619.692767
7000,0.411920,1665.369920
7000,0.420822,1630.143135
7000,0.418369,1639.699490
7000,0.423687,1619.120012
8000,0.605291,1691.749248
8000,0.609137,1681.066136
8000,0.604874,1692.914944
8000,0.607412,1685.841500
8000,0.608837,1681.894743
9000,0.800961,1820.313749
9000,0.841102,1733.440936
9000,0.828031,1760.804007
9000,0.832339,1751.689511
9000,0.820012,1778.023164
10000,1.119542,1786.444289
10000,1.145427,1746.073029
10000,1.138584,1756.567722
10000,1.132656,1765.760523
10000,1.134920,1762.238689
11000,1.706546,1559.875982
11000,1.696915,1568.729164
11000,1.703100,1563.032168
11000,1.685729,1579.138454
11000,1.714400,1552.730025
12000,1.909510,1809.888195
12000,2.038195,1695.617681
12000,2.004929,1723.751756
12000,2.066441,1672.440547
12000,2.071959,1667.986435
13000,2.546359,1725.601184
13000,2.704861,1624.482524
13000,2.592598,1694.824906
13000,2.572419,1708.119600
13000,2.591883,1695.292814
14000,3.185202,1722.967494
14000,3.256210,1685.395062
14000,3.181601,1724.917882
14000,2.968983,1848.444447
14000,3.272815,1676.843855
15000,3.676704,1835.883306
15000,3.976676,1697.397434
15000,3.925638,1719.465888
15000,3.911327,1725.756921
15000,3.862858,1747.410940
16000,4.528862,1808.843016
16000,4.815031,1701.339158
16000,4.585901,1786.344781
16000,4.835148,1694.260473
16000,4.566682,1793.862735
17000,5.717506,1718.581351
17000,5.371517,1829.278466
17000,5.891151,1667.925355
17000,5.693429,1725.849317
17000,5.714459,1719.497742
18000,6.756150,1726.427110
18000,6.693843,1742.496915
18000,6.665926,1749.794426
18000,6.654269,1752.859781
18000,6.695252,1742.129999
19000,7.875590,1741.837807
19000,7.985516,1717.860113
19000,7.748521,1770.402363
19000,7.978904,1719.283751
19000,7.908467,1734.596675
20000,8.834086,1811.166375
20000,8.974935,1782.742792
20000,9.276194,1724.845294
20000,9.086803,1760.795329
20000,9.223554,1734.689277
