n_threads,Time,GFLOPS
2000,0.014371,1113.368621
2000,0.013570,1179.085036
2000,0.013718,1166.360983
2000,0.012829,1247.199161
2000,0.014092,1135.413695
3000,0.029807,1811.675646
3000,0.030911,1746.923514
3000,0.031190,1731.326973
3000,0.029510,1829.888546
3000,0.029697,1818.392311
4000,0.061477,2082.071078
4000,0.060372,2120.203795
4000,0.061861,2069.144137
4000,0.062470,2048.979051
4000,0.059469,2152.391903
5000,0.085158,2935.736206
5000,0.099975,2500.623606
5000,0.097416,2566.303663
5000,0.102592,2436.840244
5000,0.102394,2441.542895
6000,0.146961,2939.562393
6000,0.148423,2910.606188
6000,0.151229,2856.598176
6000,0.146637,2946.047739
6000,0.146792,2942.945003
7000,0.217331,3156.479571
7000,0.220447,3111.855995
7000,0.215845,3178.207128
7000,0.222546,3082.508411
7000,0.215681,3180.628485
8000,0.323484,3165.538836
8000,0.313239,3269.068105
8000,0.314980,3251.004780
8000,0.327675,3125.047227
8000,0.308283,3321.626341
9000,0.430717,3385.053185
9000,0.423280,3444.528176
9000,0.424821,3432.031594
9000,0.429015,3398.481248
9000,0.424273,3436.463950
10000,0.563221,3551.002772
10000,0.557788,3585.593401
10000,0.567968,3521.323601
10000,0.564918,3540.339422
10000,0.555754,3598.717252
11000,0.733357,3629.885205
11000,0.724705,3673.218256
11000,0.722790,3682.949596
11000,0.729382,3649.667556
11000,0.737648,3608.765324
12000,0.926648,3729.570340
12000,0.928524,3722.036801
12000,0.929191,3719.365856
12000,0.913647,3782.643905
12000,0.932488,3706.214840
13000,1.167972,3762.077667
13000,1.170038,3755.433093
13000,1.158929,3791.431307
13000,1.174586,3740.893982
13000,1.193917,3680.323999
14000,1.451693,3780.414041
14000,1.458937,3761.642016
14000,1.442886,3803.489146
14000,1.429702,3838.561029
14000,1.465754,3744.148886
15000,1.720649,3922.937240
15000,1.748300,3860.893066
15000,1.733108,3894.737242
15000,1.768453,3816.896163
15000,1.740793,3877.542705
16000,2.099182,3902.471725
16000,2.146673,3816.138010
16000,2.072677,3952.376978
16000,2.081218,3936.157159
16000,2.094938,3910.377754
17000,2.564000,3832.293305
17000,2.509814,3915.031162
17000,2.526094,3889.800548
17000,2.508769,3916.661703
17000,2.540191,3868.213328
18000,3.031964,3847.011781
18000,2.980617,3913.283360
18000,3.015272,3868.307383
18000,3.017709,3865.183337
18000,2.995505,3893.834498
19000,3.548817,3865.513572
19000,3.560433,3852.902343
19000,3.537910,3877.429953
19000,3.543635,3871.166079
19000,3.546787,3867.726142
20000,4.200704,3808.885747
20000,4.173974,3833.277541
20000,4.105465,3897.244230
20000,4.158258,3847.765461
20000,4.132744,3871.520132
