n_threads,Time,GFLOPS
2000,0.035341,452.734478
2000,0.037219,429.883479
2000,0.037270,429.299094
2000,0.036898,433.632234
2000,0.035056,456.416256
3000,0.074732,722.585275
3000,0.073979,729.938097
3000,0.070738,763.376131
3000,0.075389,716.288442
3000,0.075735,713.017176
4000,0.195043,656.264159
4000,0.243278,526.148075
4000,0.194464,658.219763
4000,0.211610,604.886513
4000,0.212954,601.070167
5000,0.434566,575.286307
5000,0.443704,563.438324
5000,0.432269,578.343955
5000,0.443761,563.366822
5000,0.435828,573.621159
6000,0.777923,555.325010
6000,0.780375,553.580220
6000,0.769684,561.269127
6000,0.771543,559.917225
6000,0.761821,567.062286
7000,1.235289,555.335722
7000,1.235754,555.126746
7000,1.243279,551.766745
7000,1.230162,557.650203
7000,1.237361,554.405800
8000,1.808317,566.272388
8000,1.809097,566.028187
8000,1.801664,568.363438
8000,1.804438,567.489734
8000,1.799694,568.985480
9000,2.528360,576.658483
9000,2.521846,578.148021
9000,2.522108,578.087892
9000,2.520006,578.570095
9000,2.516719,579.325815
10000,3.475239,575.499959
10000,3.481228,574.509908
10000,3.452794,579.241044
10000,3.476957,575.215562
10000,3.464943,577.210000
11000,4.521211,588.780368
11000,4.519471,589.006960
11000,4.533030,587.245161
11000,4.532563,587.305741
11000,4.517773,589.228402
12000,4.657502,742.028620
12000,5.514094,626.757596
12000,5.504215,627.882436
12000,4.647548,743.617867
12000,5.510225,627.197636
13000,6.818111,644.460045
13000,6.809813,645.245348
13000,6.823704,643.931797
13000,6.845991,641.835520
13000,6.848363,641.613200
14000,9.102167,602.933374
14000,9.123212,601.542513
14000,8.888933,617.396904
14000,9.100919,603.016042
14000,9.091229,603.658783
15000,10.805906,624.658430
15000,10.796194,625.220326
15000,11.028643,612.042676
15000,11.001427,613.556794
15000,10.965477,615.568308
16000,7.867332,1041.267858
16000,11.228763,729.554975
16000,9.431983,868.534252
16000,10.908907,750.945992
16000,9.379775,873.368471
17000,14.421271,681.354654
17000,14.403350,682.202401
17000,14.424866,681.184846
17000,14.397367,682.485893
17000,13.618843,721.500342
18000,16.094331,724.727213
18000,16.079630,725.389846
18000,16.084723,725.160147
18000,16.085664,725.117717
18000,16.116965,723.709436
19000,22.464814,610.643828
19000,22.457232,610.849997
19000,22.493048,609.877333
19000,22.507881,609.475415
19000,22.472639,610.431202
20000,25.585851,625.345635
20000,25.115475,637.057431
20000,25.283640,632.820277
20000,25.281831,632.865558
20000,25.185080,635.296777
