n_threads,Time,GFLOPS
2000,0.023484,681.302666
2000,0.021997,727.356704
2000,0.021048,760.167851
2000,0.021455,745.759669
2000,0.021820,733.284762
3000,0.037985,1421.613757
3000,0.036253,1489.521670
3000,0.037713,1431.866882
3000,0.039024,1383.773305
3000,0.037974,1422.034247
4000,0.064732,1977.383155
4000,0.064372,1988.446381
4000,0.065340,1958.977871
4000,0.061986,2064.983448
4000,0.064197,1993.866741
5000,0.110157,2269.481399
5000,0.108589,2302.262835
5000,0.108475,2304.679050
5000,0.108525,2303.625445
5000,0.111937,2233.396271
6000,0.226599,1906.448490
6000,0.229803,1879.871241
6000,0.214937,2009.888615
6000,0.219374,1969.241424
6000,0.216909,1991.616254
7000,0.459962,1491.428970
7000,0.457046,1500.943190
7000,0.466035,1471.991022
7000,0.474493,1445.753898
7000,0.456177,1503.803511
8000,0.792257,1292.510446
8000,0.790275,1295.750666
8000,0.795097,1287.892445
8000,0.789881,1296.398591
8000,0.798273,1282.769014
9000,1.121722,1299.787802
9000,1.130375,1289.837249
9000,1.113064,1309.898010
9000,1.120207,1301.544669
9000,1.125444,1295.488168
10000,1.544668,1294.776495
10000,1.555077,1286.109927
10000,1.549894,1290.411224
10000,1.561186,1281.077680
10000,1.551683,1288.923438
11000,2.033107,1309.325800
11000,2.038204,1306.051926
11000,2.036948,1306.857120
11000,2.038787,1305.678209
11000,2.020856,1317.263675
12000,2.605645,1326.351022
12000,2.624271,1316.936917
12000,2.601135,1328.650579
12000,2.607145,1325.587731
12000,2.609224,1324.531588
13000,3.298563,1332.095350
13000,3.302243,1330.610670
13000,3.299487,1331.722152
13000,3.301460,1330.926345
13000,3.305552,1329.278824
14000,4.019140,1365.466188
14000,4.040857,1358.127682
14000,4.045730,1356.491778
14000,4.035098,1360.066244
14000,4.017995,1365.855400
15000,3.842774,1756.543565
15000,3.811974,1770.735990
15000,3.823293,1765.493641
15000,3.839028,1758.257549
15000,3.816825,1768.485412
16000,5.866236,1396.466161
16000,5.807501,1410.589543
16000,5.804073,1411.422733
16000,5.813967,1409.020830
16000,5.851112,1400.075732
17000,7.127380,1378.627131
17000,7.145622,1375.107657
17000,7.165014,1371.386100
17000,7.116355,1380.762993
17000,7.146328,1374.971917
18000,6.305813,1849.721813
18000,8.330823,1400.101786
18000,8.236155,1416.194816
18000,6.294182,1853.139878
18000,6.077455,1919.224315
19000,9.396690,1459.875829
19000,9.546760,1436.927332
19000,9.533129,1438.981876
19000,9.549120,1436.572161
19000,9.527685,1439.804051
20000,11.571648,1382.689785
20000,11.447161,1397.726516
20000,11.530437,1387.631722
20000,11.507272,1390.425117
20000,11.517016,1389.248691
