n_threads,Time,GFLOPS
2000,0.028130,568.779137
2000,0.028895,553.732104
2000,0.029563,541.219826
2000,0.027549,580.780401
2000,0.031094,514.566493
3000,0.080940,667.159863
3000,0.086901,621.396683
3000,0.078987,683.657176
3000,0.083799,644.400913
3000,0.077083,700.541452
4000,0.138319,925.396487
4000,0.138286,925.617655
4000,0.156948,815.557415
4000,0.136256,939.408035
4000,0.121859,1050.397092
5000,0.215335,1160.980066
5000,0.216193,1156.371780
5000,0.221484,1128.750695
5000,0.232255,1076.404153
5000,0.223346,1119.339891
6000,0.399748,1080.680899
6000,0.342644,1260.782054
6000,0.350987,1230.815497
6000,0.387250,1115.559234
6000,0.401426,1076.164378
7000,0.499929,1372.194152
7000,0.569247,1205.099948
7000,0.512876,1337.555798
7000,0.501781,1367.130470
7000,0.542731,1263.978725
8000,0.723907,1414.545793
8000,0.720852,1420.540768
8000,0.734199,1394.716364
8000,0.734138,1394.833802
8000,0.729765,1403.191683
9000,0.994169,1466.550753
9000,1.007820,1446.687105
9000,0.997974,1460.959772
9000,0.999824,1458.256660
9000,0.999787,1458.310941
10000,1.282874,1558.999115
10000,1.319647,1515.556644
10000,1.343214,1488.965850
10000,1.277726,1565.280411
10000,1.318287,1517.119907
11000,1.820795,1461.998619
11000,1.778605,1496.678387
11000,1.711032,1555.786219
11000,1.769769,1504.151323
11000,1.716199,1551.102040
12000,2.262715,1527.368482
12000,2.161324,1599.020104
12000,2.278804,1516.584951
12000,2.345300,1473.585398
12000,2.250269,1535.816117
13000,2.777064,1582.246571
13000,2.824105,1555.891416
13000,2.857054,1537.947789
13000,2.743093,1601.841527
13000,2.711636,1620.424135
14000,3.365018,1630.897891
14000,3.470065,1581.526556
14000,3.452442,1589.599452
14000,3.348483,1638.951138
14000,3.409523,1609.609133
15000,4.853212,1390.831472
15000,4.714945,1431.617904
15000,4.233729,1594.338995
15000,4.590885,1470.304622
15000,4.611569,1463.710177
16000,4.874409,1680.613906
16000,4.900248,1671.752268
16000,4.965102,1649.915594
16000,4.970176,1648.231306
16000,4.928411,1662.199126
17000,5.828241,1685.928830
17000,5.945292,1652.736304
17000,6.017428,1632.923621
17000,5.966068,1646.980917
17000,5.911549,1662.169993
18000,7.087469,1645.721454
18000,6.980845,1670.857932
18000,6.963829,1674.940694
18000,6.971024,1673.211754
18000,7.041074,1656.565537
19000,7.990241,1716.844359
19000,8.185415,1675.907707
19000,8.025865,1709.223772
19000,7.989087,1717.092349
19000,8.086545,1696.398209
20000,9.326033,1715.627584
20000,9.455140,1692.201367
20000,9.344360,1712.262768
20000,9.361778,1709.077068
20000,9.485617,1686.764329
