n_threads,Time,GFLOPS
2000,0.016362,977.878673
2000,0.016187,988.464007
2000,0.016221,986.379699
2000,0.016203,987.495225
2000,0.016026,998.353964
3000,0.045763,1179.989322
3000,0.044274,1219.670301
3000,0.044897,1202.743431
3000,0.043777,1233.537472
3000,0.044571,1211.543968
4000,0.093132,1374.387180
4000,0.095103,1345.903582
4000,0.072083,1775.737455
4000,0.098615,1297.982430
4000,0.094019,1361.424527
5000,0.116402,2147.733092
5000,0.116940,2137.850151
5000,0.135232,1848.676551
5000,0.133250,1876.167117
5000,0.138127,1809.928479
6000,0.187674,2301.864471
6000,0.171285,2522.114743
6000,0.189533,2279.283811
6000,0.171999,2511.641794
6000,0.184641,2339.671226
7000,0.254313,2697.460053
7000,0.249315,2751.535134
7000,0.279978,2450.195771
7000,0.250784,2735.420965
7000,0.273780,2505.657535
8000,0.367317,2787.785462
8000,0.378483,2705.535560
8000,0.380053,2694.357519
8000,0.382269,2678.742325
8000,0.347580,2946.086041
9000,0.582664,2502.300387
9000,0.481922,3025.387025
9000,0.483386,3016.220795
9000,0.501216,2908.927368
9000,0.498912,2922.361361
10000,0.633373,3157.697509
10000,0.621223,3219.455375
10000,0.621807,3216.434452
10000,0.629516,3177.041610
10000,0.621297,3219.071303
11000,0.809000,3290.480206
11000,0.776488,3428.255217
11000,0.794123,3352.124704
11000,0.780440,3410.894997
11000,0.777609,3423.314477
12000,1.000955,3452.702872
12000,1.001846,3449.631084
12000,1.024952,3371.864242
12000,1.023188,3377.679862
12000,0.999229,3458.665344
13000,1.326091,3313.498935
13000,1.246629,3524.705434
13000,1.239611,3544.661142
13000,1.330425,3302.703616
13000,1.351846,3250.369251
14000,1.512206,3629.135023
14000,1.528266,3590.997973
14000,1.516600,3618.620100
14000,1.654548,3316.918900
14000,1.512430,3628.597241
15000,1.926731,3503.342989
15000,1.900822,3551.096055
15000,1.894891,3562.209515
15000,1.903101,3546.841875
15000,1.894803,3562.376433
16000,2.239152,3658.527450
16000,2.299522,3562.478813
16000,2.232610,3669.248747
16000,2.244469,3649.861680
16000,2.421777,3382.640731
17000,2.622370,3746.992829
17000,2.641763,3719.486338
17000,2.672396,3676.849663
17000,2.644784,3715.237556
17000,2.614540,3758.214306
18000,3.193206,3652.755248
18000,3.174848,3673.876402
18000,3.260589,3577.267800
18000,3.376593,3454.369902
18000,3.216203,3626.636560
19000,3.889015,3527.370980
19000,3.651539,3756.771747
19000,3.683225,3724.453670
19000,3.668922,3738.972759
19000,3.788781,3620.689969
20000,4.428962,3612.584695
20000,4.352961,3675.658714
20000,4.415194,3623.849816
20000,4.396182,3639.522059
20000,4.345577,3681.904190
