n_threads,Time,GFLOPS
1,49.429869,40.461366
1,49.409898,40.477720
1,49.230209,40.625462
1,49.222542,40.631790
1,49.316404,40.554457
2,26.346900,75.910260
2,26.237937,76.225504
2,26.484194,75.516740
2,26.492788,75.492244
2,26.123917,76.558196
3,17.399189,114.947885
3,17.240834,116.003668
3,17.466813,114.502855
3,17.461493,114.537743
3,17.472348,114.466587
4,13.244889,151.001643
4,13.571177,147.371151
4,13.493664,148.217707
4,13.657452,146.440202
4,13.380570,149.470466
5,11.033940,181.258919
5,11.133391,179.639789
5,11.021719,181.459903
5,11.086856,180.393790
5,10.983035,182.099029
6,8.814535,226.897962
6,8.858113,225.781730
6,8.881586,225.185000
6,8.838569,226.280966
6,8.991489,222.432580
7,7.793133,256.636209
7,7.806271,256.204280
7,7.800267,256.401485
7,7.729090,258.762667
7,7.734035,258.597230
8,6.906358,289.588236
8,6.904390,289.670791
8,6.882390,290.596722
8,6.917647,289.115648
8,6.909405,289.460540
9,6.137833,325.847922
9,6.169912,324.153728
9,6.153170,325.035690
9,6.125104,326.525045
9,6.144762,325.480475
10,5.384137,371.461564
10,5.329350,375.280255
10,5.397972,370.509522
10,5.418672,369.094104
10,5.355463,373.450472
11,4.894725,408.603138
11,4.952765,403.814878
11,4.980462,401.569177
11,4.979586,401.639806
11,4.977285,401.825494
12,4.719809,423.745973
12,4.714656,424.209091
12,4.696140,425.881638
12,4.747104,421.309525
12,4.742361,421.730865
13,4.842460,413.013180
13,4.880544,409.790390
13,4.827632,414.281769
13,4.878635,409.950744
13,4.851344,412.256894
14,3.944213,507.072011
14,3.934529,508.320098
14,4.026919,496.657677
14,3.944833,506.992278
14,3.977393,502.841904
15,3.879437,515.538741
15,3.874157,516.241287
15,3.900265,512.785635
15,3.891108,513.992369
15,3.877981,515.732295
16,3.587688,557.462041
16,3.596162,556.148525
16,3.596717,556.062629
16,3.603923,554.950753
16,3.612129,553.690070
17,3.588753,557.296690
17,3.575585,559.348978
17,3.580169,558.632793
17,3.575017,559.437826
17,3.585201,557.848836
18,3.175938,629.735250
18,3.217807,621.541284
18,3.222435,620.648587
18,3.183166,628.305361
18,3.236566,617.938968
19,3.251700,615.062846
19,3.261586,613.198609
19,3.239414,617.395562
19,3.221516,620.825721
19,3.257291,614.007182
20,2.869182,697.062751
20,2.847880,702.276850
20,2.904268,688.641700
20,2.818726,709.540518
20,2.836176,705.174908
21,2.770307,721.941631
21,2.762311,724.031334
21,2.780675,719.249718
21,2.784071,718.372417
21,2.759289,724.824469
22,2.574476,776.857243
22,2.575296,776.609747
22,2.591993,771.606945
22,2.589859,772.242874
22,2.627995,761.036502
23,2.575552,776.532593
23,2.595862,770.456961
23,2.607536,767.007581
23,2.609247,766.504627
23,2.607636,766.978326
24,2.480616,806.251228
24,2.502881,799.079117
24,2.479867,806.494914
24,2.460491,812.845976
24,2.468022,810.365436
