n_threads,Time,GFLOPS
1,23.828444,83.933303
1,23.812580,83.989219
1,23.810040,83.998179
1,23.818378,83.968775
1,23.811749,83.992151
2,12.743627,156.941192
2,12.715199,157.292075
2,12.707308,157.389744
2,12.710733,157.347333
2,12.720422,157.227491
3,8.429558,237.260361
3,8.430137,237.244056
3,8.430202,237.242250
3,8.435215,237.101238
3,8.424993,237.388930
4,6.265927,319.186615
4,6.268107,319.075606
4,6.267504,319.106281
4,6.270375,318.960184
4,6.265854,319.190331
5,4.900498,408.121774
5,4.905251,407.726353
5,4.904315,407.804168
5,4.899845,408.176160
5,4.941993,404.695033
6,4.095471,488.344264
6,4.090241,488.968716
6,4.105871,487.107359
6,4.095409,488.351706
6,4.086774,489.383609
7,3.480764,574.586557
7,3.497499,571.837172
7,3.489404,573.163746
7,3.482428,574.311952
7,3.476463,575.297428
8,3.027658,660.576638
8,3.039051,658.100147
8,3.054078,654.862174
8,3.043320,657.176999
8,3.036078,658.744683
9,2.693655,742.485541
9,2.691579,743.058360
9,2.696463,741.712327
9,2.710529,737.863313
9,2.708199,738.498041
10,2.447868,817.037437
10,2.441735,819.089854
10,2.456760,814.080453
10,2.445199,817.929388
10,2.451938,815.681204
11,2.241675,892.190072
11,2.232433,895.883459
11,2.226303,898.350184
11,2.241911,892.096180
11,2.232259,895.953352
12,2.026658,986.846520
12,2.063666,969.148903
12,2.140446,934.384559
12,2.036484,982.084888
12,2.027460,986.455753
13,2.133011,937.641576
13,2.105932,949.698109
13,2.149708,930.358973
13,2.112991,946.525672
13,2.126222,940.635340
14,1.812577,1103.401689
14,1.812864,1103.226609
14,1.812542,1103.422616
14,1.812704,1103.324298
14,1.806269,1107.254591
15,1.665932,1200.529214
15,1.671799,1196.316274
15,1.657213,1206.845588
15,1.683993,1187.653597
15,1.668780,1198.480027
16,1.560657,1281.511899
16,1.567235,1276.132743
16,1.552559,1288.195700
16,1.560796,1281.397391
16,1.573153,1271.331894
17,1.561852,1280.530752
17,1.565717,1277.370079
17,1.570022,1273.867687
17,1.556328,1285.076187
17,1.566579,1276.667436
18,1.405134,1423.352217
18,1.393171,1435.573700
18,1.383904,1445.186847
18,1.388626,1440.272738
18,1.394787,1433.910470
19,1.404173,1424.325596
19,1.413436,1414.991595
19,1.409364,1419.079845
19,1.409359,1419.084504
19,1.404938,1423.550081
20,1.258424,1589.288929
20,1.243859,1607.899014
20,1.241579,1610.851650
20,1.239911,1613.019146
20,1.239371,1613.722079
21,1.191597,1678.420473
21,1.202132,1663.710344
21,1.198855,1668.258557
21,1.198686,1668.493315
21,1.194148,1674.833918
22,1.183544,1689.840210
22,1.191463,1678.608947
22,1.183038,1690.563303
22,1.193598,1675.606008
22,1.171974,1706.522690
23,1.179630,1695.446353
23,1.181987,1692.066636
23,1.192026,1677.815118
23,1.181501,1692.761314
23,1.194151,1674.830017
24,1.067733,1873.127105
24,1.059888,1886.991440
24,1.053982,1897.566272
24,1.057138,1891.900414
24,1.038829,1925.245140
