n_threads,Time,GFLOPS
1,29.595590,67.577636
1,29.517495,67.756428
1,29.534400,67.717644
1,29.515458,67.761102
1,29.527819,67.732738
2,15.241754,131.218492
2,15.277989,130.907277
2,15.310926,130.625672
2,15.268154,130.991604
2,15.305888,130.668666
3,9.995260,200.094850
3,9.994807,200.103919
3,9.879355,202.442361
3,9.992495,200.150206
3,9.901761,201.984280
4,7.443064,268.706530
4,7.441819,268.751500
4,7.418314,269.603048
4,7.422548,269.449247
4,7.335046,272.663606
5,5.812071,344.111414
5,5.861676,341.199333
5,5.810889,344.181407
5,5.810430,344.208602
5,5.860023,341.295596
6,4.836765,413.499489
6,4.859033,411.604505
6,4.859680,411.549709
6,4.860023,411.520658
6,4.868571,410.798120
7,4.157126,481.101556
7,4.156705,481.150316
7,4.148245,482.131647
7,4.146136,482.376857
7,4.147335,482.237425
8,3.646881,548.413864
8,3.645208,548.665513
8,3.635464,550.136158
8,3.648101,548.230473
8,3.646555,548.462814
9,3.240250,617.236233
9,3.232140,618.784992
9,3.228002,619.578286
9,3.229387,619.312554
9,3.227870,619.603618
10,2.913882,686.369684
10,2.915988,685.873865
10,2.913385,686.486749
10,2.913832,686.381260
10,2.917531,685.511223
11,2.646451,755.728974
11,2.646594,755.688304
11,2.646183,755.805602
11,2.646535,755.704962
11,2.656176,752.962183
12,2.431104,822.671595
12,2.435118,821.315478
12,2.430907,822.738220
12,2.432294,822.269041
12,2.431161,822.652205
13,2.264102,883.352320
13,2.268587,881.606052
13,2.262999,883.783154
13,2.268613,881.595774
13,2.270106,881.016100
14,2.109444,948.117125
14,2.107306,949.079283
14,2.107770,948.870042
14,2.104116,950.517905
14,2.104155,950.500200
15,1.965426,1017.591306
15,1.965927,1017.331623
15,1.964375,1018.135680
15,1.964586,1018.026140
15,1.964687,1017.973739
16,1.849496,1081.375573
16,1.850574,1080.746014
16,1.849663,1081.278248
16,1.849551,1081.343817
16,1.849140,1081.583966
17,1.750085,1142.801735
17,1.749269,1143.334909
17,1.748359,1143.929947
17,1.748008,1144.159384
17,1.754974,1139.617990
18,1.651995,1210.657422
18,1.653343,1209.670686
18,1.651412,1211.084676
18,1.653112,1209.839314
18,1.651257,1211.198324
19,1.566064,1277.086869
19,1.567852,1275.630249
19,1.567871,1275.615517
19,1.567657,1275.789001
19,1.567898,1275.593406
20,1.498701,1334.489389
20,1.500253,1333.108875
20,1.497794,1335.297173
20,1.501739,1331.789718
20,1.499030,1334.196166
21,1.423970,1404.524331
21,1.424594,1403.908958
21,1.424056,1404.439390
21,1.425596,1402.922218
21,1.423135,1405.348178
22,1.366915,1463.149045
22,1.365918,1464.216631
22,1.365792,1464.352169
22,1.364932,1465.274802
22,1.366069,1464.054805
23,1.313269,1522.916719
23,1.312159,1524.205457
23,1.311036,1525.510856
23,1.311214,1525.304095
23,1.313114,1523.096880
24,1.262989,1583.544455
24,1.263081,1583.429248
24,1.263369,1583.068224
24,1.262623,1584.003595
24,1.261412,1585.524457
