n_threads,Time,GFLOPS
1,15.038877,132.988652
1,14.909080,134.146438
1,14.905522,134.178462
1,14.895221,134.271257
1,14.902738,134.203524
2,7.743501,258.281108
2,7.796311,256.531593
2,7.798056,256.474177
2,7.764067,257.596964
2,7.810507,256.065311
3,5.060956,395.182241
3,5.059660,395.283469
3,5.057790,395.429632
3,5.058004,395.412904
3,5.132352,389.684894
4,3.783576,528.600414
4,3.783796,528.569776
4,3.784283,528.501652
4,3.783452,528.617747
4,3.783239,528.647551
5,2.995232,667.728011
5,2.994273,667.941783
5,2.994484,667.894729
5,2.994201,667.957724
5,2.994432,667.906226
6,2.496915,800.988397
6,2.497549,800.785026
6,2.496174,801.226323
6,2.493637,802.041239
6,2.494712,801.695638
7,2.138660,935.164912
7,2.139058,934.990984
7,2.138416,935.271538
7,2.139666,934.725534
7,2.139753,934.687231
8,1.870055,1069.487391
8,1.869181,1069.987129
8,1.869107,1070.029981
8,1.868695,1070.265613
8,1.869328,1069.903238
9,1.654582,1208.764226
9,1.653180,1209.789754
9,1.652491,1210.294054
9,1.653087,1209.857407
9,1.652208,1210.501274
10,1.490098,1342.193681
10,1.489212,1342.992400
10,1.491147,1341.249542
10,1.490035,1342.249914
10,1.491380,1341.040279
11,1.356196,1474.713306
11,1.355312,1475.674728
11,1.354275,1476.805277
11,1.355802,1475.141489
11,1.355635,1475.323235
12,1.244558,1606.996725
12,1.243474,1608.397294
12,1.243533,1608.320492
12,1.244166,1607.502452
12,1.244048,1607.654992
13,1.164766,1717.083492
13,1.164092,1718.076944
13,1.164172,1717.958768
13,1.163771,1718.550780
13,1.162504,1720.424096
14,1.083161,1846.447319
14,1.082053,1848.339083
14,1.082445,1847.669227
14,1.082393,1847.757901
14,1.082756,1847.139015
15,1.006537,1987.010870
15,1.005314,1989.427593
15,1.005688,1988.689171
15,1.007069,1985.961362
15,1.003893,1992.244384
16,0.947210,2111.463566
16,0.947741,2110.281082
16,0.948811,2107.902287
16,0.947500,2110.817935
16,0.944410,2117.723175
17,0.895007,2234.619397
17,0.894778,2235.192083
17,0.894595,2235.648881
17,0.893659,2237.989928
17,0.894009,2237.113761
18,0.846268,2363.317821
18,0.847448,2360.027754
18,0.846301,2363.225483
18,0.844431,2368.457866
18,0.845724,2364.836619
19,0.806242,2480.645212
19,0.805333,2483.445042
19,0.805549,2482.777494
19,0.805813,2481.965249
19,0.806222,2480.707319
20,0.766835,2608.123509
20,0.767495,2605.878603
20,0.766000,2610.967186
20,0.767488,2605.903179
20,0.768173,2603.580431
21,0.732965,2728.643798
21,0.732454,2730.547677
21,0.732223,2731.409294
21,0.733523,2726.565932
21,0.733581,2726.353131
22,0.702444,2847.202744
22,0.702705,2846.143553
22,0.701650,2850.425841
22,0.704070,2840.626949
22,0.701935,2849.266504
23,0.675626,2960.219607
23,0.674105,2966.897513
23,0.675049,2962.745976
23,0.674939,2963.230444
23,0.675856,2959.208749
24,0.648252,3085.219517
24,0.649946,3077.178251
24,0.648745,3082.875407
24,0.649553,3079.042311
24,0.648854,3082.355677
