n_threads,Time,GFLOPS
1,28.721304,69.634720
1,28.723178,69.630179
1,28.704552,69.675361
1,28.716923,69.645345
1,28.725364,69.624879
2,16.154799,123.802219
2,16.035674,124.721917
2,16.044356,124.654427
2,16.041082,124.679871
2,16.044898,124.650212
3,10.548625,189.598162
3,10.546764,189.631617
3,10.537060,189.806265
3,10.535841,189.828223
3,10.543952,189.682199
4,7.729888,258.735971
4,7.599612,263.171347
4,7.598470,263.210883
4,7.738625,258.443833
4,7.732177,258.659362
5,5.991988,333.779016
5,5.984579,334.192287
5,5.983439,334.255916
5,5.996502,333.527807
5,5.983982,334.225589
6,4.943249,404.592173
6,4.940980,404.778002
6,4.946183,404.352228
6,4.941714,404.717872
6,4.945630,404.397450
7,4.246333,470.994566
7,4.245688,471.066184
7,4.246030,471.028247
7,4.242310,471.441245
7,4.265848,468.839938
8,3.706846,539.542309
8,3.712666,538.696398
8,3.709618,539.139099
8,3.708526,539.297843
8,3.711011,538.936712
9,3.293298,607.293902
9,3.290783,607.758023
9,3.295396,606.907349
9,3.293363,607.282019
9,3.290619,607.788380
10,2.988609,669.207675
10,2.980047,671.130459
10,2.985312,669.946744
10,2.980257,671.083168
10,2.981157,670.880559
11,2.682349,745.615090
11,2.679008,746.545106
11,2.680633,746.092311
11,2.675833,747.430771
11,2.684112,745.125406
12,2.489851,803.260946
12,2.486199,804.440959
12,2.489661,803.322160
12,2.492922,802.271351
12,2.489422,803.399327
13,2.391143,836.420207
13,2.390783,836.546027
13,2.396103,834.688598
13,2.398214,833.954052
13,2.393126,835.726861
14,2.182473,916.391429
14,2.185955,914.931712
14,2.183461,915.976951
14,2.185503,915.120953
14,2.183929,915.780764
15,2.040418,980.191355
15,2.038651,981.041038
15,2.048350,976.395478
15,2.039497,980.633863
15,2.039600,980.584443
16,1.922448,1040.340279
16,1.917584,1042.979163
16,1.920344,1041.480298
16,1.918404,1042.533038
16,1.918803,1042.316373
17,1.801953,1109.907024
17,1.801147,1110.403765
17,1.799875,1111.188148
17,1.797823,1112.456759
17,1.799446,1111.452995
18,1.679685,1190.699622
18,1.678366,1191.634856
18,1.680412,1190.184231
18,1.681885,1189.141847
18,1.680613,1190.042205
19,1.581880,1264.318486
19,1.590872,1257.172270
19,1.584257,1262.421708
19,1.582297,1263.984983
19,1.582268,1264.008323
20,1.524271,1312.102885
20,1.526607,1310.094867
20,1.525772,1310.811891
20,1.524195,1312.168216
20,1.525425,1311.110352
21,1.459291,1370.528997
21,1.458642,1371.138345
21,1.461769,1368.205218
21,1.457114,1372.576160
21,1.460185,1369.689814
22,1.391446,1437.353481
22,1.391370,1437.432160
22,1.391497,1437.300553
22,1.390346,1438.490370
22,1.389885,1438.968067
23,1.351543,1479.790042
23,1.355748,1475.200173
23,1.354363,1476.708952
23,1.355270,1475.721002
23,1.349776,1481.727870
24,1.330931,1502.707852
24,1.329509,1504.314876
24,1.331959,1501.548268
24,1.330429,1503.274956
24,1.333166,1500.188813
