n_threads,Time,GFLOPS
1,14.433696,138.564646
1,14.420647,138.690029
1,14.440623,138.498177
1,14.411412,138.778906
1,14.414613,138.748089
2,7.844314,254.961759
2,7.777599,257.148775
2,7.762865,257.636845
2,7.802888,256.315364
2,7.777523,257.151270
3,5.079307,393.754478
3,5.079957,393.704129
3,5.079789,393.717161
3,5.083493,393.430279
3,5.079224,393.760969
4,3.722013,537.343606
4,3.749423,533.415433
4,3.718337,537.874918
4,3.722265,537.307305
4,3.719202,537.749784
5,2.953220,677.226793
5,2.955785,676.639172
5,2.960575,675.544455
5,2.952398,677.415526
5,2.953249,677.220174
6,2.478221,807.030662
6,2.474174,808.350570
6,2.475994,807.756346
6,2.476067,807.732595
6,2.475676,807.860064
7,2.121712,942.635057
7,2.127667,939.996770
7,2.124417,941.434726
7,2.121527,942.717007
7,2.123572,941.809457
8,1.857271,1076.849009
8,1.867240,1071.099749
8,1.864459,1072.697435
8,1.861122,1074.620410
8,1.861653,1074.314213
9,1.652117,1210.568235
9,1.642310,1217.796836
9,1.636199,1222.345175
9,1.636635,1222.019560
9,1.654844,1208.573441
10,1.472425,1358.303913
10,1.470815,1359.790760
10,1.471259,1359.380313
10,1.470686,1359.909513
10,1.486814,1345.157958
11,1.335443,1497.630654
11,1.338088,1494.670202
11,1.335808,1497.221001
11,1.335573,1497.484300
11,1.336100,1496.893823
12,1.252524,1596.776295
12,1.253901,1595.022701
12,1.252625,1596.646581
12,1.253172,1595.949532
12,1.254569,1594.173313
13,1.165924,1715.378282
13,1.184320,1688.733109
13,1.169749,1709.768778
13,1.183354,1690.111033
13,1.161897,1721.322997
14,1.069814,1869.483300
14,1.071595,1866.376359
14,1.077327,1856.446803
14,1.071262,1866.956751
14,1.072073,1865.545262
15,1.004177,1991.680343
15,1.009675,1980.836337
15,1.018112,1964.419808
15,1.004557,1990.928270
15,1.002383,1995.244948
16,0.958119,2087.423174
16,0.956474,2091.013143
16,0.956209,2091.592137
16,0.968217,2065.651614
16,0.955202,2093.797181
17,0.888559,2250.836289
17,0.904468,2211.245103
17,0.896233,2231.562352
17,0.897163,2229.249793
17,0.898236,2226.587130
18,0.835347,2394.215293
18,0.830565,2407.998382
18,0.831317,2405.819724
18,0.832083,2403.606033
18,0.830603,2407.890330
19,0.778579,2568.781210
19,0.778772,2568.145012
19,0.778612,2568.674413
19,0.778144,2570.217421
19,0.778012,2570.653704
20,0.770046,2597.246240
20,0.769449,2599.263721
20,0.769551,2598.919745
20,0.770071,2597.161642
20,0.769589,2598.788744
21,0.712514,2806.963477
21,0.713707,2802.268601
21,0.717518,2787.384646
21,0.711967,2809.120363
21,0.713268,2803.993902
22,0.705195,2836.095069
22,0.705660,2834.227938
22,0.705569,2834.592937
22,0.705378,2835.361010
22,0.705646,2834.283763
23,0.680032,2941.039427
23,0.673079,2971.417522
23,0.683111,2927.782730
23,0.673953,2967.565961
23,0.677229,2953.212082
24,0.655580,3050.734278
24,0.680913,2937.233347
24,0.681054,2936.622594
24,0.653720,3059.413559
24,0.651213,3071.190468
