n_threads,Time,GFLOPS
1,49.390118,40.493930
1,49.546195,40.366369
1,49.339648,40.535352
1,49.299453,40.568402
1,49.364832,40.514672
1,49.475626,40.423946
1,49.325013,40.547379
1,49.388206,40.495498
1,49.341949,40.533462
1,49.333843,40.540122
2,25.703235,77.811219
2,26.382514,75.807787
2,26.412255,75.722425
2,26.415786,75.712303
2,26.417485,75.707433
3,17.264771,115.842832
3,17.250646,115.937684
3,17.441989,114.665825
3,17.327843,115.421175
3,17.234839,116.044020
4,13.749278,145.462178
4,13.800869,144.918412
4,13.761039,145.337859
4,13.754524,145.406701
4,13.733246,145.631996
5,11.221566,178.228251
5,11.208945,178.428929
5,11.231841,178.065202
5,11.212675,178.369574
5,11.229654,178.099881
6,9.077252,220.331006
6,9.047798,221.048252
6,9.048232,221.037646
6,9.050034,220.993655
6,9.057599,220.809072
7,7.880397,253.794314
7,7.911931,252.782803
7,7.868899,254.165157
7,7.881833,253.748089
7,7.858468,254.502531
8,6.931831,288.524073
8,6.942432,288.083491
8,6.930554,288.577228
8,6.938757,288.236045
8,6.931240,288.548656
9,6.167044,324.304457
9,6.170278,324.134523
9,6.154603,324.960047
9,6.177379,323.761902
9,6.154890,324.944876
10,5.485979,364.565756
10,5.502512,363.470369
10,5.491959,364.168798
10,5.499115,363.694889
10,5.495513,363.933250
11,5.002871,399.770487
11,4.992621,400.591199
11,4.999751,400.019934
11,4.977102,401.840247
11,4.982048,401.441340
12,4.730858,422.756310
12,4.761454,420.039728
12,4.727874,423.023091
12,4.729843,422.847044
12,4.729832,422.847967
13,4.743544,421.625698
13,4.744935,421.502083
13,4.757895,420.353947
13,4.748215,421.210936
13,4.758446,420.305252
14,4.004801,499.400603
14,4.010478,498.693676
14,4.030882,496.169302
14,4.013213,498.353778
14,4.012386,498.456511
15,3.893177,513.719312
15,3.913924,510.996141
15,3.894860,513.497216
15,3.903660,512.339738
15,3.893498,513.676884
16,3.616345,553.044588
16,3.623793,551.907886
16,3.568571,560.448502
16,3.622892,552.045148
16,3.626858,551.441511
17,3.646640,548.450024
17,3.650023,547.941731
17,3.664637,545.756648
17,3.655581,547.108694
17,3.660525,546.369671
18,3.208084,623.425098
18,3.204921,624.040408
18,3.207885,623.463763
18,3.219013,621.308425
18,3.230496,619.100069
19,3.283345,609.134802
19,3.296183,606.762485
19,3.297991,606.429759
19,3.346595,597.622436
19,3.311182,604.014000
20,2.855912,700.301635
20,2.828793,707.015370
20,2.872092,696.356463
20,2.873888,695.921239
20,2.891420,691.701703
21,2.784334,718.304667
21,2.775334,720.634006
21,2.772761,721.302630
21,2.773960,720.991021
21,2.771077,721.741138
22,2.601051,768.919832
22,2.611868,765.735557
22,2.591473,771.761912
22,2.601422,768.810193
22,2.600898,768.965181
23,2.577808,775.852878
23,2.593543,771.145888
23,2.596315,770.322691
23,2.593280,771.224009
23,2.597275,770.037784
24,2.487259,804.097984
24,2.458869,813.382248
24,2.477290,807.333742
24,2.469112,810.007662
24,2.462396,812.217186
