n_threads,Time,GFLOPS
1,23.866800,83.798415
1,23.834155,83.913192
1,23.930256,83.576207
1,23.840489,83.890897
1,23.833597,83.915156
1,23.860053,83.822112
1,23.938113,83.548773
1,23.830595,83.925726
1,23.836915,83.903476
1,23.836880,83.903597
2,12.719127,157.243499
2,12.719644,157.237101
2,12.717792,157.259997
2,12.727401,157.141272
2,12.719213,157.242428
3,8.464570,236.278973
3,8.421982,237.473799
3,8.445785,236.804514
3,8.407856,237.872773
3,8.398158,238.147467
4,6.264794,319.244355
4,6.237915,320.619933
4,6.232665,320.889998
4,6.232751,320.885615
4,6.236386,320.698534
5,4.933554,405.387298
5,4.927230,405.907609
5,4.922840,406.269559
5,4.918735,406.608613
5,4.924967,406.094125
6,4.110066,486.610166
6,4.107906,486.866015
6,4.106895,486.985875
6,4.105277,487.177888
6,4.106954,486.978876
7,3.494879,572.265836
7,3.535435,565.701204
7,3.503436,570.868125
7,3.491487,572.821864
7,3.492743,572.615817
8,3.056779,654.283424
8,3.040565,657.772578
8,3.045770,656.648482
8,3.053621,654.960056
8,3.058758,653.860241
9,2.708667,738.370490
9,2.716087,736.353543
9,2.702822,739.967301
9,2.705076,739.350818
9,2.715873,736.411421
10,2.462089,812.318269
10,2.444411,818.193100
10,2.448897,816.694186
10,2.445922,817.687665
10,2.450930,816.016855
11,2.236431,894.281858
11,2.232621,895.808177
11,2.225095,898.838047
11,2.245842,890.534514
11,2.261847,884.233183
12,2.040529,980.137977
12,2.074424,964.122984
12,2.073248,964.669922
12,2.046177,977.432447
12,2.043375,978.773096
13,2.064244,968.877481
13,2.052807,974.275630
13,2.047131,976.977277
13,2.059010,971.340709
13,2.056918,972.328320
14,1.809804,1105.092337
14,1.814176,1102.429018
14,1.813375,1102.916062
14,1.807856,1106.282931
14,1.810108,1104.906559
15,1.666415,1200.181011
15,1.670169,1197.483835
15,1.665615,1200.757338
15,1.671922,1196.228310
15,1.696531,1178.876011
16,1.557028,1284.498187
16,1.562223,1280.226774
16,1.562580,1279.934512
16,1.567517,1275.903330
16,1.564597,1278.284761
17,1.563580,1279.115546
17,1.565060,1277.905936
17,1.565883,1277.234816
17,1.567850,1275.632312
17,1.569545,1274.254555
18,1.389127,1439.753658
18,1.397951,1430.665361
18,1.387607,1441.329799
18,1.388921,1439.966922
18,1.399879,1428.695149
19,1.417551,1410.883932
19,1.406226,1422.246156
19,1.414062,1414.364699
19,1.416652,1411.779795
19,1.418087,1410.350568
20,1.248839,1601.486837
20,1.247338,1603.414150
20,1.242039,1610.255905
20,1.250000,1599.999679
20,1.242660,1609.450117
21,1.199450,1667.431258
21,1.212346,1649.693834
21,1.205749,1658.720332
21,1.197304,1670.419329
21,1.198796,1668.340053
22,1.187402,1684.349755
22,1.178309,1697.346927
22,1.187098,1684.781119
22,1.176150,1700.463025
22,1.196885,1671.004771
23,1.190578,1679.856212
23,1.190889,1679.417930
23,1.179872,1695.099266
23,1.175477,1701.436302
23,1.185573,1686.947613
24,1.062138,1882.994510
24,1.063106,1881.279710
24,1.060484,1885.931712
24,1.060871,1885.242922
24,1.051440,1902.154135
