n_threads,Time,GFLOPS
1,30.044935,66.566961
1,30.133280,66.371799
1,30.198382,66.228713
1,30.176378,66.277007
1,30.335976,65.928323
1,30.130188,66.378611
1,30.274587,66.062008
1,30.280898,66.048240
1,30.298983,66.008816
1,30.106153,66.431603
2,15.345055,130.335144
2,15.345499,130.331376
2,15.350979,130.284851
2,15.171630,131.824994
2,15.342783,130.354450
3,9.886089,202.304473
3,9.952210,200.960398
3,9.960942,200.784231
3,9.960352,200.796112
3,9.965826,200.685829
4,7.447556,268.544484
4,7.351479,272.054082
4,7.448851,268.497795
4,7.444055,268.670774
4,7.353762,271.969638
5,5.837601,342.606492
5,5.820603,343.607006
5,5.836059,342.697041
5,5.886992,339.732069
5,5.832314,342.917069
6,4.858662,411.635996
6,4.856774,411.795990
6,4.856527,411.816924
6,4.879655,409.865046
6,4.880556,409.789413
7,4.163555,480.358726
7,4.166437,480.026415
7,4.163466,480.369048
7,4.165561,480.127355
7,4.165237,480.164800
8,3.654561,547.261336
8,3.658115,546.729619
8,3.658974,546.601309
8,3.652246,547.608166
8,3.659009,546.596078
9,3.242336,616.839126
9,3.255205,614.400634
9,3.245448,616.247670
9,3.241147,617.065407
9,3.243569,616.604675
10,2.921163,684.658735
10,2.926326,683.450942
10,2.926926,683.310651
10,2.926809,683.338034
10,2.919031,685.158955
11,2.663906,750.777370
11,2.656966,752.738276
11,2.664155,750.706971
11,2.658712,752.243987
11,2.657485,752.591391
12,2.438196,820.278449
12,2.446396,817.529063
12,2.439066,819.985949
12,2.438851,820.058237
12,2.440111,819.634707
13,2.276309,878.615185
13,2.278161,877.901074
13,2.277397,878.195680
13,2.277701,878.078338
13,2.278677,877.702105
14,2.116327,945.033566
14,2.109761,947.974758
14,2.116788,944.827548
14,2.115616,945.351121
14,2.116764,944.838468
15,1.972735,1013.821021
15,1.968692,1015.902719
15,1.972240,1014.075153
15,1.973054,1013.657137
15,1.973122,1013.621818
16,1.855505,1077.873411
16,1.856520,1077.284423
16,1.855985,1077.595001
16,1.857644,1076.632662
16,1.858390,1076.200308
17,1.755447,1139.311174
17,1.755135,1139.513277
17,1.754253,1140.086731
17,1.754687,1139.804694
17,1.754023,1140.235798
18,1.656109,1207.649934
18,1.657264,1206.808593
18,1.655925,1207.783854
18,1.656798,1207.147468
18,1.657226,1206.835758
19,1.573165,1271.322403
19,1.572500,1271.860205
19,1.574395,1270.329213
19,1.572503,1271.858056
19,1.573932,1270.702567
20,1.504116,1329.684903
20,1.502684,1330.951581
20,1.503086,1330.595780
20,1.503530,1330.203266
20,1.503668,1330.080444
21,1.428066,1400.495059
21,1.429443,1399.146588
21,1.428246,1400.319193
21,1.427329,1401.219094
21,1.428043,1400.517945
22,1.369290,1460.611434
22,1.370519,1459.300750
22,1.369478,1460.410509
22,1.370223,1459.615966
22,1.369846,1460.017767
23,1.315729,1520.069300
23,1.317786,1517.696619
23,1.318007,1517.443063
23,1.314985,1520.929873
23,1.315548,1520.278565
24,1.266254,1579.461358
24,1.265952,1579.838900
24,1.267528,1577.874027
24,1.264767,1581.318352
24,1.267721,1577.634658
