n_threads,Time,GFLOPS
1,15.083594,132.594397
1,15.021101,133.146032
1,15.034771,133.024970
1,14.990471,133.418088
1,15.029751,133.069400
1,15.051678,132.875551
1,14.974640,133.559135
1,15.034637,133.026157
1,15.011028,133.235382
1,15.026489,133.098290
2,7.745134,258.226634
2,7.707493,259.487758
2,7.767671,257.477443
2,7.757836,257.803846
2,7.759025,257.764335
3,5.081700,393.569078
3,5.093170,392.682732
3,5.089436,392.970817
3,5.091305,392.826560
3,5.063058,395.018225
4,3.789416,527.785765
4,3.783759,528.574878
4,3.788888,527.859341
4,3.795282,526.970045
4,3.796282,526.831312
5,3.004358,665.699694
5,2.995303,667.712192
5,3.001639,666.302586
5,2.998316,667.041198
5,2.998717,666.951977
6,2.499527,800.151334
6,2.494012,801.920654
6,2.503356,798.927677
6,2.500041,799.986831
6,2.506979,797.772958
7,2.143833,932.908466
7,2.138170,935.379283
7,2.145196,932.315532
7,2.146269,931.849737
7,2.141281,934.020354
8,1.869533,1069.786011
8,1.869630,1069.730330
8,1.870692,1069.123354
8,1.873804,1067.347252
8,1.873367,1067.596207
9,1.656768,1207.169577
9,1.655750,1207.912008
9,1.655136,1208.359895
9,1.658290,1206.061535
9,1.657685,1206.501501
10,1.493936,1338.745159
10,1.491591,1340.850303
10,1.494646,1338.109217
10,1.492970,1339.612047
10,1.495012,1337.782266
11,1.355892,1475.043496
11,1.356575,1474.301245
11,1.356478,1474.406491
11,1.355024,1475.988899
11,1.357061,1473.773091
12,1.246251,1604.813309
12,1.247437,1603.287328
12,1.244486,1607.088994
12,1.246026,1605.103009
12,1.246247,1604.818585
13,1.167167,1713.550394
13,1.161838,1721.411070
13,1.160515,1723.373330
13,1.164663,1717.234332
13,1.159404,1725.024634
14,1.081179,1849.831620
14,1.083526,1845.825140
14,1.085990,1841.637399
14,1.083331,1846.158586
14,1.085301,1842.807015
15,1.005704,1988.656574
15,1.004372,1991.294241
15,1.007007,1986.084440
15,1.007176,1985.750718
15,1.003615,1992.795244
16,0.945869,2114.457046
16,0.946001,2114.161747
16,0.948036,2109.623746
16,0.945444,2115.408915
16,0.946028,2114.102447
17,0.893335,2238.802733
17,0.895563,2233.233101
17,0.894660,2235.487241
17,0.893540,2238.288986
17,0.893734,2237.803175
18,0.845199,2366.307689
18,0.845988,2364.100554
18,0.844660,2367.817118
18,0.844618,2367.933146
18,0.844630,2367.902131
19,0.803802,2488.176171
19,0.805845,2481.867412
19,0.804730,2485.305986
19,0.805732,2482.214489
19,0.804554,2485.849482
20,0.766183,2610.343412
20,0.767335,2606.424546
20,0.765886,2611.354409
20,0.766565,2609.041892
20,0.768282,2603.209635
21,0.731646,2733.562507
21,0.732322,2731.039477
21,0.731036,2735.845048
21,0.730972,2736.081398
21,0.732305,2731.104279
22,0.702174,2848.297993
22,0.702269,2847.909868
22,0.700614,2854.639721
22,0.700273,2856.029948
22,0.700745,2854.105066
23,0.672964,2971.927600
23,0.673716,2968.608328
23,0.674866,2963.552719
23,0.672655,2973.290721
23,0.673542,2969.376142
24,0.647895,3086.921206
24,0.647054,3090.931301
24,0.648221,3085.368190
24,0.646859,3091.863781
24,0.648471,3084.179102
