n_threads,Time,GFLOPS
1,28.906840,69.187776
1,28.922467,69.150394
1,28.985777,68.999358
1,28.828294,69.376287
1,28.844115,69.338234
1,29.520781,67.748884
1,28.973001,69.029783
1,28.944082,69.098755
1,29.025227,68.905575
1,29.091837,68.747808
2,15.789658,126.665192
2,16.077800,124.395126
2,16.229062,123.235708
2,16.119142,124.076086
2,16.026155,124.796000
3,10.653307,187.735125
3,10.222328,195.650143
3,10.213586,195.817619
3,10.293268,194.301743
3,10.298780,194.197768
4,7.507140,266.413059
4,7.524805,265.787631
4,7.629857,262.128110
4,7.550449,264.884899
4,7.627821,262.198078
5,5.990389,333.868147
5,6.001726,333.237493
5,5.987437,334.032741
5,5.987352,334.037485
5,5.981650,334.355907
6,5.091504,392.811221
6,4.981183,401.511067
6,5.068835,394.567989
6,4.992684,400.586160
6,4.979827,401.620344
7,4.344431,460.359444
7,4.291324,466.056650
7,4.435570,450.900385
7,4.297607,465.375299
7,4.336967,461.151759
8,3.746978,533.763494
8,3.750701,533.233605
8,3.756087,532.468990
8,3.795211,526.979891
8,3.757078,532.328560
9,3.378172,592.036212
9,3.337864,599.185558
9,3.376915,592.256548
9,3.345248,597.863083
9,3.348475,597.286842
10,3.062757,653.006402
10,3.033203,659.368942
10,3.040607,657.763311
10,3.024372,661.294354
10,3.013999,663.570249
11,2.742533,729.252938
11,2.706018,739.093280
11,2.735800,731.047533
11,2.715378,736.545768
11,2.708541,738.404789
12,2.507134,797.723578
12,2.527283,791.363809
12,2.520750,793.414811
12,2.534537,789.098718
12,2.509572,796.948661
13,2.428091,823.692257
13,2.414354,828.378804
13,2.434423,821.549908
13,2.416619,827.602360
13,2.424761,824.823601
14,2.209370,905.235486
14,2.201564,908.445081
14,2.197130,910.278255
14,2.213818,903.416700
14,2.200373,908.936890
15,2.092471,955.807602
15,2.060422,970.675126
15,2.121295,942.820135
15,2.067458,967.371535
15,2.070042,966.164109
16,1.934441,1033.890215
16,1.961481,1019.637707
16,1.936897,1032.579563
16,2.005750,997.133365
16,1.940646,1030.584630
17,1.886758,1060.019159
17,1.850403,1080.845923
17,2.083795,959.787354
17,1.886235,1060.313467
17,1.925911,1038.469756
18,1.706359,1172.086331
18,1.707169,1171.529886
18,1.706222,1172.180473
18,1.710202,1169.452671
18,1.700663,1176.011819
19,1.602518,1248.035992
19,1.612241,1240.509025
19,1.613316,1239.682538
19,1.609822,1242.373481
19,1.601606,1248.746787
20,1.551877,1288.761876
20,1.534101,1303.694975
20,1.592620,1255.792595
20,1.553853,1287.122783
20,1.596351,1252.857504
21,1.475196,1355.752490
21,1.476167,1354.860566
21,1.474132,1356.730731
21,1.467614,1362.756079
21,1.469369,1361.128483
22,1.399299,1429.286898
22,1.404366,1424.130310
22,1.398453,1430.151884
22,1.400778,1427.777827
22,1.439831,1389.052107
23,1.367310,1462.726007
23,1.373042,1456.619800
23,1.354338,1476.736248
23,1.364916,1465.291589
23,1.352335,1478.923897
24,1.338449,1494.266849
24,1.340137,1492.384225
24,1.347788,1483.912960
24,1.336196,1496.786954
24,1.337560,1495.259676
