n_threads,Time,GFLOPS
1,14.501376,137.917951
1,14.450607,138.402490
1,14.457601,138.335534
1,14.470115,138.215903
1,14.499333,137.937379
1,14.649325,136.525059
1,14.463701,138.277195
1,14.471835,138.199471
1,14.470891,138.208492
1,14.481525,138.106998
2,7.816467,255.870069
2,7.808164,256.142173
2,7.916748,252.628973
2,7.802532,256.327040
2,7.902692,253.078311
3,5.096510,392.425411
3,5.105135,391.762430
3,5.088256,393.061999
3,5.111478,391.276293
3,5.118757,390.719841
4,3.756883,532.356173
4,3.741076,534.605616
4,3.728550,536.401584
4,3.734259,535.581499
4,3.744475,534.120257
5,2.976193,671.999474
5,2.971863,672.978451
5,2.978623,671.451117
5,3.002258,666.165161
5,2.992794,668.271758
6,2.490010,803.209531
6,2.490172,803.157351
6,2.494447,801.780868
6,2.489171,803.480216
6,2.511099,796.464063
7,2.134686,936.905926
7,2.136170,936.255141
7,2.132715,937.771696
7,2.131201,938.438033
7,2.131661,938.235326
8,1.875528,1066.366417
8,1.869973,1069.534361
8,1.893430,1056.283936
8,1.875811,1066.205440
8,1.876839,1065.621635
9,1.653476,1209.572846
9,1.652576,1210.231646
9,1.648720,1213.062165
9,1.653128,1209.827963
9,1.649738,1212.313833
10,1.479996,1351.354726
10,1.478784,1352.462956
10,1.483181,1348.452766
10,1.481464,1350.016284
10,1.477845,1353.321647
11,1.347403,1484.337273
11,1.342948,1489.261268
11,1.352318,1478.942183
11,1.347824,1483.872883
11,1.347627,1484.089999
12,1.271790,1572.586892
12,1.274869,1568.788924
12,1.271130,1573.403108
12,1.269703,1575.171250
12,1.269629,1575.263805
13,1.174695,1702.569816
13,1.175907,1700.814396
13,1.177723,1698.192825
13,1.173489,1704.319096
13,1.179928,1695.018054
14,1.087830,1838.521960
14,1.102077,1814.754942
14,1.090847,1833.438098
14,1.090630,1833.802019
14,1.088524,1837.350714
15,1.016305,1967.912827
15,1.016112,1968.287346
15,1.015744,1969.000685
15,1.016208,1968.100870
15,1.013582,1973.199688
16,0.961911,2079.194575
16,0.964039,2074.605610
16,0.953860,2096.744731
16,0.959488,2084.444618
16,0.953310,2097.953550
17,0.909621,2198.717098
17,0.904209,2211.877331
17,0.905307,2209.195431
17,0.906511,2206.260070
17,0.906422,2206.477614
18,0.836270,2391.570802
18,0.837010,2389.456822
18,0.838040,2386.521761
18,0.838139,2386.240036
18,0.839845,2381.390642
19,0.784211,2550.334267
19,0.783641,2552.189939
19,0.793417,2520.742687
19,0.783209,2553.597956
19,0.785038,2547.647764
20,0.773322,2586.245280
20,0.773107,2586.964772
20,0.773609,2585.286672
20,0.772178,2590.077384
20,0.772687,2588.368623
21,0.716879,2789.872538
21,0.720529,2775.739830
21,0.719428,2779.985179
21,0.717585,2787.126369
21,0.718132,2785.004132
22,0.710198,2816.114733
22,0.708865,2821.411029
22,0.709015,2820.814474
22,0.708796,2821.687455
22,0.708934,2821.136001
23,0.682045,2932.358369
23,0.679058,2945.255697
23,0.678477,2947.777416
23,0.685522,2917.484386
23,0.679028,2945.385292
24,0.668489,2991.821452
24,0.666936,2998.789492
24,0.669564,2987.019373
24,0.691920,2890.505819
24,0.664095,3011.617495
