n_threads,Time,GFLOPS
2000,0.068263,234.388173
2000,0.042340,377.890603
2000,0.042127,379.801294
2000,0.043966,363.917134
2000,0.046080,347.221529
3000,0.147846,365.245147
3000,0.147854,365.225725
3000,0.145658,370.730503
3000,0.145520,371.083569
3000,0.142248,379.619436
4000,0.276974,462.136675
4000,0.289696,441.842628
4000,0.287302,445.523853
4000,0.291200,439.560544
4000,0.284384,450.095781
5000,0.534367,467.842917
5000,0.538895,463.912269
5000,0.553855,451.381916
5000,0.549700,454.793668
5000,0.534893,467.383365
6000,0.895088,482.633904
6000,0.923462,467.804721
6000,0.897381,481.400623
6000,0.892530,484.017485
6000,0.941208,458.984576
7000,1.462165,469.167205
7000,1.528071,448.931900
7000,1.514028,453.095891
7000,1.463315,468.798534
7000,1.460922,469.566391
8000,2.351772,435.416439
8000,2.344456,436.775166
8000,2.344513,436.764439
8000,2.287286,447.692124
8000,2.433437,420.803939
9000,3.368679,432.810652
9000,3.355716,434.482480
9000,3.346819,435.637489
9000,3.400648,428.741755
9000,3.373404,432.204424
10000,4.797746,416.862375
10000,4.693689,426.104112
10000,4.692290,426.231085
10000,4.706020,424.987609
10000,4.674934,427.813500
11000,6.482437,410.648046
11000,6.416485,414.868913
11000,6.437590,413.508756
11000,6.431721,413.886120
11000,6.420812,414.589304
12000,8.407102,411.081031
12000,8.383882,412.219535
12000,8.375034,412.655036
12000,8.385707,412.129813
12000,8.390849,411.877284
13000,10.525007,417.481917
13000,10.625408,413.537072
13000,10.648748,412.630678
13000,10.627978,413.437071
13000,10.614477,413.962919
14000,13.347522,411.162459
14000,13.320756,411.988636
14000,13.292440,412.866246
14000,13.360624,410.759258
14000,13.267475,413.643124
15000,16.437428,410.648186
15000,16.369422,412.354197
15000,16.243752,415.544382
15000,16.360640,412.575552
15000,16.432592,410.769043
16000,19.438736,421.426576
16000,19.410394,422.041933
16000,19.406422,422.128312
16000,19.412663,421.992589
16000,19.421216,421.806755
17000,23.014180,426.954170
17000,22.985379,427.489152
17000,22.894708,429.182153
17000,23.060116,426.103668
17000,22.969574,427.783299
18000,27.494999,424.222596
18000,27.550250,423.371845
18000,27.339125,426.641303
18000,27.571337,423.048040
18000,27.426409,425.283525
19000,32.380283,423.652870
19000,32.426376,423.050668
19000,32.410423,423.258900
19000,32.593168,420.885746
19000,32.408513,423.283840
20000,37.669293,424.749146
20000,37.802083,423.257099
20000,37.816173,423.099393
20000,37.961010,421.485099
20000,38.004430,421.003549
