n_threads,Time,GFLOPS
2000,0.043321,369.338821
2000,0.046889,341.228974
2000,0.043947,364.071702
2000,0.038490,415.693360
2000,0.048195,331.982421
3000,0.086677,623.004195
3000,0.087655,616.051383
3000,0.077183,699.631996
3000,0.088819,607.978652
3000,0.077508,696.702707
4000,0.146145,875.844433
4000,0.132038,969.419040
4000,0.157610,812.130535
4000,0.132338,967.219766
4000,0.146414,874.232610
5000,0.275956,905.941658
5000,0.272135,918.660090
5000,0.268153,932.302766
5000,0.274693,910.107990
5000,0.277726,900.169185
6000,0.450485,958.965611
6000,0.450312,959.335922
6000,0.437368,987.727615
6000,0.450519,958.893675
6000,0.451308,957.218237
7000,0.688912,995.772360
7000,0.699546,980.635959
7000,0.700174,979.756136
7000,0.686245,999.643387
7000,0.700548,979.232792
8000,1.036461,987.977051
8000,1.058611,967.305197
8000,1.048576,976.562777
8000,1.043918,980.919735
8000,1.035552,988.844475
9000,1.462172,997.146678
9000,1.471299,990.961272
9000,1.462595,996.858366
9000,1.465708,994.740953
9000,1.461637,997.511397
10000,2.030125,985.160973
10000,2.034397,983.092235
10000,2.032436,984.040654
10000,2.022523,988.863928
10000,2.025774,987.277144
11000,2.741067,971.154840
11000,2.772105,960.280941
11000,2.765010,962.745301
11000,2.750869,967.694123
11000,2.748944,968.371878
12000,3.494446,988.997854
12000,3.501390,987.036487
12000,3.667324,942.376631
12000,3.491541,989.820691
12000,3.518157,982.332515
13000,4.564866,962.569311
13000,4.534073,969.106638
13000,4.546852,966.382908
13000,4.550128,965.687114
13000,4.576349,960.153969
14000,5.667878,968.263671
14000,5.723713,958.818100
14000,5.677390,966.641399
14000,5.665835,968.612767
14000,5.686150,965.152149
15000,7.068171,954.985432
15000,6.974840,967.764148
15000,6.969408,968.518466
15000,7.023824,961.014961
15000,6.956072,970.375287
16000,8.397428,975.536785
16000,8.405193,974.635532
16000,8.470749,967.092702
16000,8.452149,969.221020
16000,8.442539,970.324242
17000,10.077659,975.028060
17000,10.085371,974.282448
17000,10.062070,976.538591
17000,10.121398,970.814474
17000,10.189593,964.317256
18000,11.920247,978.503253
18000,11.927636,977.897024
18000,11.938157,977.035264
18000,11.938590,976.999766
18000,11.921511,978.399507
19000,14.253512,962.429463
19000,14.331775,957.173862
19000,14.314303,958.342134
19000,14.206282,965.629133
19000,14.275296,960.960810
20000,16.599423,963.888932
20000,16.438125,973.347025
20000,16.410947,974.958975
20000,16.590509,964.406820
20000,16.386440,976.417113
