n_threads,Time,GFLOPS
2000,0.026736,598.451275
2000,0.026762,597.866104
2000,0.027069,591.092051
2000,0.027052,591.445386
2000,0.027555,580.650546
3000,0.076112,709.476757
3000,0.076484,706.032503
3000,0.075811,712.298129
3000,0.077050,700.844408
3000,0.075830,712.120933
4000,0.163580,782.493967
4000,0.163292,783.871583
4000,0.163596,782.416801
4000,0.163183,784.395611
4000,0.163180,784.411243
5000,0.314396,795.175395
5000,0.314292,795.439436
5000,0.314124,795.864938
5000,0.314465,795.000326
5000,0.313943,796.322904
6000,0.528891,816.803098
6000,0.529945,815.179475
6000,0.529862,815.307190
6000,0.529634,815.657274
6000,0.528725,817.059279
7000,0.844954,811.878993
7000,0.844682,812.140336
7000,0.844633,812.186711
7000,0.845626,811.233250
7000,0.844903,811.927921
8000,1.246119,821.751459
8000,1.246654,821.398398
8000,1.246549,821.468187
8000,1.247533,820.820218
8000,1.245441,822.198826
9000,1.763810,826.619430
9000,1.764347,826.367997
9000,1.762759,827.112333
9000,1.763392,826.815387
9000,1.764159,826.456278
10000,2.429056,823.365114
10000,2.436405,820.881703
10000,2.430004,823.044008
10000,2.430757,822.788918
10000,2.429368,823.259536
11000,3.222528,826.059552
11000,3.221909,826.218368
11000,3.223350,825.848846
11000,3.222313,826.114737
11000,3.225384,825.328005
12000,4.178064,827.177282
12000,4.176958,827.396417
12000,4.176969,827.394212
12000,4.177893,827.211147
12000,4.177136,827.361058
13000,5.300713,828.945064
13000,5.297884,829.387778
13000,5.301828,828.770756
13000,5.296375,829.624088
13000,5.299261,829.172172
14000,6.646532,825.693817
14000,6.616750,829.410199
14000,6.622709,828.663968
14000,6.620876,828.893282
14000,6.617931,829.262150
15000,8.207205,822.448079
15000,8.149013,828.321179
15000,8.144701,828.759736
15000,8.206417,822.527097
15000,8.202163,822.953637
16000,9.872259,829.799975
16000,9.915862,826.151092
16000,9.880832,829.079942
16000,9.883903,828.822366
16000,9.874751,829.590557
17000,11.909336,825.066956
17000,11.943158,822.730465
17000,11.844561,829.579067
17000,11.873390,827.564861
17000,11.985985,819.790794
18000,14.031968,831.244789
18000,14.174933,822.861046
18000,14.038879,830.835583
18000,14.141190,824.824482
18000,14.154280,824.061688
19000,16.509312,830.925012
19000,16.651846,823.812553
19000,16.535613,829.603331
19000,16.491451,831.824904
19000,16.579674,827.398661
20000,19.300660,828.987197
20000,19.452360,822.522300
20000,19.281754,829.800015
20000,19.298891,829.063186
20000,19.292526,829.336708
