n_threads,Time,GFLOPS
2000,0.016100,993.811165
2000,0.017058,937.980330
2000,0.016052,996.736746
2000,0.016089,994.454425
2000,0.016001,999.937816
3000,0.040417,1336.056051
3000,0.041334,1306.431332
3000,0.040308,1339.686358
3000,0.040886,1320.753660
3000,0.040410,1336.291024
4000,0.086385,1481.734560
4000,0.086319,1482.876467
4000,0.086967,1471.819514
4000,0.086515,1479.510924
4000,0.086389,1481.675711
5000,0.167928,1488.730820
5000,0.167440,1493.070861
5000,0.167599,1491.654939
5000,0.167499,1492.541849
5000,0.167130,1495.845507
6000,0.278134,1553.208847
6000,0.277947,1554.250901
6000,0.278110,1553.343834
6000,0.279108,1547.787249
6000,0.278772,1549.654620
7000,0.431877,1588.415628
7000,0.431439,1590.026173
7000,0.431537,1589.665881
7000,0.431595,1589.451668
7000,0.431533,1589.682116
8000,0.633820,1615.601113
8000,0.634009,1615.119329
8000,0.632922,1617.892692
8000,0.633615,1616.123598
8000,0.634153,1614.753271
9000,0.902977,1614.658822
9000,0.902867,1614.856340
9000,0.903023,1614.576029
9000,0.902597,1615.338646
9000,0.903049,1614.531056
10000,1.243422,1608.464805
10000,1.244853,1606.615982
10000,1.244280,1607.354949
10000,1.243511,1608.349710
10000,1.244807,1606.674273
11000,1.637409,1625.739469
11000,1.637992,1625.160897
11000,1.637876,1625.275555
11000,1.642384,1620.814859
11000,1.640765,1622.414102
12000,2.129228,1623.123630
12000,2.131597,1621.319916
12000,2.130933,1621.824540
12000,2.130709,1621.995095
12000,2.131065,1621.724105
13000,2.695392,1630.189861
13000,2.696471,1629.537491
13000,2.696665,1629.419760
13000,2.696703,1629.396816
13000,2.697323,1629.022828
14000,3.368676,1629.126594
14000,3.376144,1625.522963
14000,3.367074,1629.902018
14000,3.378276,1624.497380
14000,3.377918,1624.669255
15000,4.173912,1617.187972
15000,4.170921,1618.347597
15000,4.176417,1616.217826
15000,4.171802,1618.005797
15000,4.174824,1616.834586
16000,5.015548,1633.321064
16000,5.016094,1633.143170
16000,5.015319,1633.395453
16000,5.015877,1633.213787
16000,5.015494,1633.338697
17000,6.011868,1634.433858
17000,6.011772,1634.459762
17000,6.021031,1631.946515
17000,6.011698,1634.479936
17000,6.011944,1634.413036
18000,7.131615,1635.534073
18000,7.131362,1635.592283
18000,7.124184,1637.240217
18000,7.131058,1635.661862
18000,7.131056,1635.662421
19000,8.409028,1631.341967
19000,8.407973,1631.546717
19000,8.406456,1631.841078
19000,8.410745,1631.008822
19000,8.408492,1631.445974
20000,9.864349,1622.002658
20000,9.865815,1621.761533
20000,9.866741,1621.609432
20000,9.864983,1621.898412
20000,9.866520,1621.645679
