n_threads,Time,GFLOPS
2000,0.028132,568.743553
2000,0.027405,583.841373
2000,0.025573,625.660952
2000,0.025128,636.734773
2000,0.024267,659.341112
3000,0.072895,740.792952
3000,0.072246,747.446825
3000,0.079568,678.668713
3000,0.072439,745.451298
3000,0.075299,717.145350
4000,0.161294,793.580976
4000,0.168109,761.409030
4000,0.161127,794.404192
4000,0.160800,796.021554
4000,0.161228,793.906613
5000,0.323343,773.173739
5000,0.322760,774.568679
5000,0.323006,773.980243
5000,0.322900,774.233734
5000,0.323076,773.812046
6000,0.538126,802.785896
6000,0.537027,804.429084
6000,0.537332,803.971701
6000,0.537179,804.200969
6000,0.535759,806.332969
7000,0.863364,794.566770
7000,0.863917,794.058069
7000,0.863734,794.226229
7000,0.863572,794.374582
7000,0.862868,795.022857
8000,1.276605,802.127786
8000,1.276449,802.225713
8000,1.275691,802.701971
8000,1.279731,800.168282
8000,1.275137,803.050973
9000,1.793267,813.041268
9000,1.791972,813.628991
9000,1.790473,814.310083
9000,1.795783,811.901961
9000,1.795765,811.910057
10000,2.488492,803.699484
10000,2.491952,802.583648
10000,2.488796,803.601304
10000,2.487552,804.003329
10000,2.490033,803.202070
11000,3.307849,804.752509
11000,3.312184,803.699274
11000,3.312247,803.684144
11000,3.308777,804.526795
11000,3.306400,805.105339
12000,4.321836,799.660148
12000,4.334505,797.322819
12000,4.329218,798.296550
12000,4.323871,799.283713
12000,4.330600,798.041816
13000,5.471028,803.139782
13000,5.467727,803.624678
13000,5.467776,803.617435
13000,5.469121,803.419727
13000,5.474193,802.675457
14000,6.876435,798.087933
14000,6.894022,796.052012
14000,6.892421,796.236873
14000,6.878459,797.853157
14000,6.892296,796.251370
15000,8.435075,800.230026
15000,8.431364,800.582202
15000,8.434616,800.273560
15000,8.431534,800.566067
15000,8.440513,799.714393
16000,10.216619,801.830796
16000,10.213964,802.039227
16000,10.213316,802.090130
16000,10.211391,802.241309
16000,10.212974,802.117003
17000,12.270981,800.750958
17000,12.253885,801.868172
17000,12.289380,799.552140
17000,12.267848,800.955460
17000,12.276773,800.373208
18000,14.509812,803.869816
18000,14.516291,803.511029
18000,14.515774,803.539672
18000,14.510316,803.841920
18000,14.510435,803.835294
19000,17.145254,800.104777
19000,17.123837,801.105497
19000,17.155345,799.634173
19000,17.134966,800.585179
19000,17.126911,800.961701
20000,20.012830,799.487148
20000,20.022051,799.118950
20000,20.008695,799.652332
20000,20.001046,799.958156
20000,20.007095,799.716303
