n_threads,Time,GFLOPS
2000,0.014085,1136.000165
2000,0.013448,1189.724911
2000,0.014134,1132.046984
2000,0.012394,1290.910153
2000,0.013344,1199.055414
3000,0.036800,1467.407254
3000,0.036638,1473.874268
3000,0.036716,1470.760465
3000,0.041861,1289.982654
3000,0.037715,1431.800366
4000,0.082417,1553.077416
4000,0.080973,1580.782760
4000,0.081009,1580.072891
4000,0.081156,1577.217002
4000,0.081136,1577.605690
5000,0.161343,1549.490497
5000,0.161126,1551.583062
5000,0.161114,1551.696363
5000,0.161360,1549.326810
5000,0.161607,1546.958510
6000,0.275521,1567.940523
6000,0.274981,1571.017560
6000,0.275905,1565.757748
6000,0.275285,1569.283376
6000,0.275098,1570.348060
7000,0.427486,1604.730574
7000,0.428814,1599.759989
7000,0.426490,1608.479340
7000,0.431572,1589.539341
7000,0.426873,1607.033725
8000,0.624992,1638.419779
8000,0.624371,1640.049302
8000,0.625130,1638.058304
8000,0.626027,1635.711126
8000,0.625034,1638.312082
9000,0.894904,1629.224248
9000,0.893013,1632.675748
9000,0.895289,1628.523609
9000,0.895208,1628.672078
9000,0.893548,1631.697954
10000,1.250821,1598.949621
10000,1.251408,1598.199476
10000,1.257653,1590.264031
10000,1.251258,1598.391844
10000,1.255923,1592.454232
11000,1.645053,1618.184978
11000,1.645077,1618.161324
11000,1.645536,1617.709539
11000,1.645915,1617.337645
11000,1.644249,1618.976384
12000,2.139206,1615.552662
12000,2.125161,1626.229642
12000,2.145079,1611.129305
12000,2.123371,1627.600454
12000,2.126224,1625.417030
13000,2.688808,1634.181346
13000,2.686697,1635.465646
13000,2.687504,1634.974179
13000,2.685324,1636.301804
13000,2.687718,1634.844078
14000,3.365687,1630.573536
14000,3.369988,1628.492282
14000,3.366965,1629.954539
14000,3.367023,1629.926442
14000,3.362015,1632.354385
15000,4.156499,1623.962865
15000,4.191393,1610.443075
15000,4.196706,1608.404140
15000,4.159332,1622.856803
15000,4.157266,1623.663310
16000,5.037586,1626.175864
16000,5.044489,1623.950333
16000,5.038692,1625.818880
16000,5.042058,1624.733401
16000,5.058192,1619.551127
17000,6.051548,1623.716674
17000,6.044392,1625.639115
17000,6.045638,1625.304111
17000,6.048104,1624.641285
17000,6.045077,1625.454784
18000,7.165016,1627.909937
18000,7.159151,1629.243536
18000,7.164334,1628.064690
18000,7.159768,1629.103037
18000,7.170525,1626.659175
19000,8.372972,1638.366976
19000,8.390558,1634.933005
19000,8.359494,1641.008507
19000,8.356840,1641.529629
19000,8.355815,1641.731018
20000,9.845414,1625.122121
20000,9.846435,1624.953653
20000,9.849436,1624.458420
20000,9.837536,1626.423602
20000,9.846324,1624.971866
