n_threads,Time,GFLOPS
2000,0.065833,243.039172
2000,0.066059,242.208435
2000,0.051818,308.775290
2000,0.044963,355.850785
2000,0.043066,371.520605
3000,0.127773,422.623102
3000,0.141513,381.589292
3000,0.139598,386.824854
3000,0.142297,379.487378
3000,0.142523,378.887044
4000,0.269819,474.392230
4000,0.288593,443.530494
4000,0.290178,441.107913
4000,0.291770,438.701126
4000,0.288110,444.275350
5000,0.540277,462.725431
5000,0.534468,467.755262
5000,0.552865,452.189631
5000,0.538785,464.007065
5000,0.538067,464.626480
6000,0.955873,451.942977
6000,0.939189,459.971471
6000,0.933575,462.737184
6000,0.931066,463.984117
6000,0.942138,458.531420
7000,1.531815,447.834848
7000,1.526022,449.534942
7000,1.519788,451.378868
7000,1.532681,447.581643
7000,1.505273,455.731336
8000,2.343811,436.895285
8000,2.342552,437.130154
8000,2.340928,437.433388
8000,2.339491,437.702076
8000,2.344988,436.676056
9000,3.399026,428.946423
9000,3.403501,428.382484
9000,3.409323,427.650919
9000,3.410141,427.548328
9000,3.430620,424.996069
10000,4.736932,422.214212
10000,4.713102,424.348959
10000,4.726484,423.147496
10000,4.718864,423.830848
10000,4.729213,422.903380
11000,6.446845,412.915173
11000,6.458660,412.159780
11000,6.472608,411.271593
11000,6.501233,409.460814
11000,6.471145,411.364624
12000,8.440037,409.476900
12000,8.415839,410.654261
12000,8.426022,410.157951
12000,8.434317,409.754556
12000,8.411643,410.859113
13000,10.791879,407.158001
13000,10.781787,407.539117
13000,10.770716,407.958041
13000,10.779121,407.639933
13000,10.772390,407.894627
14000,13.363919,410.657979
14000,13.357858,410.844318
14000,13.353507,410.978183
14000,13.356061,410.899583
14000,13.361243,410.740222
15000,16.442931,410.510766
15000,16.438275,410.627028
15000,16.421407,411.048831
15000,16.421298,411.051540
15000,16.316819,413.683567
16000,19.408782,422.076976
16000,19.483948,420.448668
16000,19.407494,422.104984
16000,19.441949,421.356941
16000,19.393784,422.403376
17000,23.060072,426.104490
17000,23.006875,427.089726
17000,23.018098,426.881482
17000,22.992711,427.352821
17000,22.935928,428.410829
18000,27.388866,425.866478
18000,27.516587,423.889782
18000,27.437384,425.113410
18000,27.528989,423.698816
18000,27.442537,425.033593
19000,32.950694,416.319005
19000,32.831505,417.830374
19000,32.611730,420.646195
19000,32.679251,419.777063
19000,32.850046,417.594540
20000,38.118045,419.748704
20000,38.048355,420.517522
20000,38.129187,419.626051
20000,37.924144,421.894827
20000,38.135129,419.560666
