n_threads,Time,GFLOPS
2000,0.032990,484.998585
2000,0.023676,675.776900
2000,0.036833,434.388319
2000,0.040313,396.894469
2000,0.041632,384.323105
3000,0.093083,580.126266
3000,0.084333,640.318873
3000,0.099815,541.000179
3000,0.073151,738.202388
3000,0.062211,868.018495
4000,0.163999,780.493625
4000,0.146277,875.053102
4000,0.132788,963.942982
4000,0.149125,858.342949
4000,0.134206,953.756604
5000,0.253712,985.368562
5000,0.287034,870.977079
5000,0.258577,966.829824
5000,0.253255,987.145619
5000,0.261985,954.251296
6000,0.462378,934.299978
6000,0.449884,960.246643
6000,0.436943,988.687934
6000,0.451600,956.598843
6000,0.450077,959.835442
7000,0.684392,1002.349894
7000,0.684785,1001.774094
7000,0.700653,979.087120
7000,0.685126,1001.275564
7000,0.702064,977.118234
8000,1.043435,981.374001
8000,1.049562,975.645336
8000,1.033677,990.638163
8000,1.055922,969.769046
8000,1.036840,987.615900
9000,1.481167,984.358682
9000,1.466025,994.526303
9000,1.471870,990.576473
9000,1.469926,991.886782
9000,1.467850,993.289641
10000,2.045392,977.807616
10000,2.052285,974.523672
10000,2.062039,969.913703
10000,2.048579,976.286597
10000,2.041829,979.513948
11000,2.776945,958.607360
11000,2.776895,958.624690
11000,2.783056,956.502438
11000,2.785574,955.637778
11000,2.785008,955.832171
12000,3.557857,971.371338
12000,3.574896,966.741491
12000,3.549964,973.531124
12000,3.549906,973.546774
12000,3.559175,971.011468
13000,4.609097,953.332036
13000,4.602749,954.646800
13000,4.586411,958.047529
13000,4.621698,950.732894
13000,4.595000,956.256878
14000,5.748364,954.706494
14000,5.765544,951.861645
14000,5.774379,950.405158
14000,5.731159,957.572467
14000,5.776222,950.102041
15000,7.056418,956.575943
15000,7.059620,956.142133
15000,7.026526,960.645463
15000,7.003903,963.748310
15000,7.028833,960.330141
16000,8.506209,963.061182
16000,8.520385,961.458868
16000,8.473757,966.749433
16000,8.525171,960.919134
16000,8.509651,962.671642
17000,10.175196,965.681649
17000,10.187835,964.483650
17000,10.179072,965.313887
17000,10.186642,964.596538
17000,10.229823,960.524953
18000,12.045192,968.353173
18000,12.086816,965.018411
18000,12.001745,971.858652
18000,12.053244,967.706271
18000,12.049362,968.018089
19000,14.416457,951.551430
19000,14.327720,957.444744
19000,14.387476,953.468144
19000,14.404085,952.368722
19000,14.393198,953.089069
20000,16.455553,972.316178
20000,16.501809,969.590696
20000,16.449298,972.685886
20000,16.407426,975.168167
20000,16.441602,973.141210
