n_threads,Time,GFLOPS
2000,0.383760,41.692735
2000,0.027697,577.689613
2000,0.027225,587.691226
2000,0.027114,590.092241
2000,0.027254,587.071985
3000,0.077016,701.150494
3000,0.076025,710.291051
3000,0.075902,711.446366
3000,0.076290,707.829272
3000,0.076202,708.641135
4000,0.163786,781.508732
4000,0.163415,783.281047
4000,0.163947,780.741570
4000,0.163736,781.744574
4000,0.163609,782.355383
5000,0.315513,792.359175
5000,0.315476,792.454276
5000,0.315907,791.372911
5000,0.315322,792.840516
5000,0.315910,791.364925
6000,0.531386,812.968467
6000,0.532496,811.273678
6000,0.532075,811.916344
6000,0.531291,813.114255
6000,0.532440,811.358761
7000,0.848426,808.556555
7000,0.848884,808.119425
7000,0.848076,808.889754
7000,0.849717,807.327525
7000,0.848365,808.614041
8000,1.249959,819.227185
8000,1.250010,819.193342
8000,1.249532,819.507074
8000,1.250533,818.851080
8000,1.249029,819.836656
9000,1.774593,821.596785
9000,1.775784,821.045779
9000,1.772234,822.690327
9000,1.776726,820.610472
9000,1.775197,821.317431
10000,2.441450,819.185235
10000,2.447295,817.228859
10000,2.441074,819.311610
10000,2.440667,819.448238
10000,2.443882,818.370178
11000,3.232433,823.528356
11000,3.232345,823.550722
11000,3.232874,823.415858
11000,3.235720,822.691745
11000,3.232612,823.482622
12000,4.192412,824.346500
12000,4.194615,823.913550
12000,4.197838,823.281009
12000,4.193583,824.116335
12000,4.197898,823.269210
13000,5.325263,825.123593
13000,5.331394,824.174719
13000,5.353729,820.736372
13000,5.351058,821.145962
13000,5.334568,823.684364
14000,6.641515,826.317522
14000,6.653393,824.842291
14000,6.644510,825.945012
14000,6.659273,824.114016
14000,6.645607,825.808678
15000,8.241211,819.054386
15000,8.214749,821.692774
15000,8.212223,821.945547
15000,8.244776,818.700271
15000,8.217914,821.376355
16000,9.962903,822.250303
16000,9.965923,822.001131
16000,9.967557,821.866391
16000,9.967325,821.885479
16000,9.976093,821.163159
17000,11.997368,819.012962
17000,11.987208,819.707137
17000,11.974670,820.565412
17000,11.979040,820.266064
17000,11.973127,820.671154
18000,14.094232,827.572573
18000,14.134379,825.221942
18000,14.097761,827.365451
18000,14.091178,827.751972
18000,14.081717,828.308077
19000,16.588294,826.968697
19000,16.600297,826.370766
19000,16.579317,827.416452
19000,16.582756,827.244865
19000,16.591142,826.826760
20000,19.381510,825.529076
20000,19.389851,825.173967
20000,19.382071,825.505174
20000,19.405901,824.491496
20000,19.392078,825.079199
