n_threads,Time,GFLOPS
2000,0.048142,332.353521
2000,0.022300,717.494066
2000,0.022917,698.174679
2000,0.022450,712.699004
2000,0.029462,543.073336
3000,0.072314,746.742657
3000,0.072763,742.133121
3000,0.072408,745.769313
3000,0.075749,712.880736
3000,0.072299,746.896923
4000,0.165575,773.061293
4000,0.167934,762.203555
4000,0.162659,786.920607
4000,0.161577,792.194169
4000,0.163295,783.856855
5000,0.324172,771.196085
5000,0.325549,767.934003
5000,0.326314,766.132064
5000,0.323782,772.123851
5000,0.324077,771.422216
6000,0.553584,780.369176
6000,0.540633,799.063313
6000,0.541809,797.329520
6000,0.538431,802.331674
6000,0.548188,788.051002
7000,0.868567,789.806995
7000,0.867508,790.771003
7000,0.881228,778.459095
7000,0.867843,790.465802
7000,0.883610,776.360520
8000,1.314628,778.927719
8000,1.300433,787.429760
8000,1.350481,758.248333
8000,1.278814,800.741911
8000,1.279386,800.383934
9000,1.808889,806.019751
9000,1.807390,806.688304
9000,1.870239,779.579565
9000,1.815266,803.188163
9000,1.814456,803.546675
10000,2.507366,797.649672
10000,2.511044,796.481525
10000,2.504951,798.418851
10000,2.502673,799.145623
10000,2.500808,799.741477
11000,3.501590,760.226105
11000,3.334021,798.435384
11000,3.336920,797.741738
11000,3.349273,794.799346
11000,3.325005,800.600346
12000,4.362422,792.220456
12000,4.345726,795.264163
12000,4.347903,794.865977
12000,4.385855,787.987738
12000,4.452647,776.167516
13000,5.540942,793.005966
13000,5.511464,797.247294
13000,5.875568,747.842553
13000,5.624389,781.240454
13000,5.508837,797.627582
14000,7.487816,732.923997
14000,7.021438,781.606267
14000,6.930445,791.868373
14000,7.729719,709.987002
14000,6.984223,785.771063
15000,8.512570,792.944986
15000,9.333842,723.174853
15000,8.653807,780.003493
15000,8.598133,785.054172
15000,8.831179,764.337373
16000,11.308988,724.379583
16000,10.378370,789.333969
16000,10.954146,747.844700
16000,10.252908,798.992856
16000,11.711006,699.512933
17000,12.690393,774.286502
17000,12.472849,787.791132
17000,12.987642,756.565333
17000,12.380750,793.651433
17000,12.345260,795.933010
18000,14.519102,803.355452
18000,14.542194,802.079798
18000,15.111196,771.877995
18000,14.568021,800.657814
18000,14.540285,802.185086
19000,17.239338,795.738224
19000,17.549888,781.657418
19000,17.149459,799.908615
19000,17.157237,799.546000
19000,17.162530,799.299408
20000,23.203185,689.560521
20000,22.635437,706.856247
20000,20.043005,798.283506
20000,23.121799,691.987673
20000,22.891622,698.945675
